dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.05245375663557155,,True,,,True,50,50,1.0,2
sqrt,10,0.05228933475043154,0.305037588539207,False,0.21239189185891277,0.24761904761904763,False,50,47,0.94,2
log,4,0.038470708254198925,0.16961086663624508,False,0.22534665946639565,0.10915774053530819,False,50,16,0.32,2
ten_percent,10,0.05228933475043154,0.305037588539207,False,0.21239189185891277,0.24761904761904763,False,50,47,0.94,2
original,100,0.05245375663557155,,True,,,True,50,50,1.0,2
half,48,0.07535495535831466,,True,,,True,50,50,1.0,6
sqrt,10,0.07404333233135899,-0.0328535042962087,False,-0.13308834181920498,-0.031151559006341357,False,50,40,0.8,6
log,4,0.061859109834061884,0.02140800708511024,False,0.012552444417065158,0.02510822510822511,False,50,17,0.34,6
ten_percent,10,0.07404333233135899,-0.0328535042962087,False,-0.13308834181920498,-0.031151559006341357,False,50,40,0.8,6
original,100,0.07535495535831466,,True,,,True,50,50,1.0,6
half,48,0.08714637994986577,,True,,,True,50,50,1.0,13
sqrt,10,0.08530698160643936,0.021538419498934595,False,0.07949917710850243,0.012505374558068813,False,50,38,0.76,13
log,4,0.062027876048619514,0.1005204089818469,False,0.03769039606142577,0.06829877767625106,False,50,15,0.3,13
ten_percent,10,0.08530698160643936,0.021538419498934595,False,0.07949917710850243,0.012505374558068813,False,50,38,0.76,13
original,100,0.08714637994986577,,True,,,True,50,50,1.0,13
half,48,0.06868114231506768,,True,,,True,50,50,1.0,8
sqrt,10,0.06725758764121888,0.3147681158674781,False,0.15242872323235562,0.2547557543201613,False,50,43,0.86,8
log,4,0.06022178237750631,0.07946864892739179,False,-0.03056132439670734,0.07216481499709028,False,50,19,0.38,8
ten_percent,10,0.06725758764121888,0.3147681158674781,False,0.15242872323235562,0.2547557543201613,False,50,43,0.86,8
original,100,0.06868114231506768,,True,,,True,50,50,1.0,8
half,48,0.058931131991059156,,True,,,True,50,50,1.0,0
sqrt,10,0.05707853430139081,0.17596949465761774,False,0.3109059043571907,0.14076967807408616,False,50,42,0.84,0
log,4,0.051640846108544046,0.08542155887924986,False,0.06555228940686285,0.061852351222101795,False,50,27,0.54,0
ten_percent,10,0.05707853430139081,0.17596949465761774,False,0.3109059043571907,0.14076967807408616,False,50,42,0.84,0
original,100,0.058931131991059156,,True,,,True,50,50,1.0,0
half,48,0.0636416613200425,,True,,,True,50,50,1.0,5
sqrt,10,0.06308765912170404,-0.08143971129363352,False,-0.03777981649390531,-0.06150521831646741,False,50,45,0.9,5
log,4,0.05221065606327823,-0.3311178444485669,False,-0.3577978394636286,-0.22693554593023646,False,50,13,0.26,5
ten_percent,10,0.06308765912170404,-0.08143971129363352,False,-0.03777981649390531,-0.06150521831646741,False,50,45,0.9,5
original,100,0.0636416613200425,,True,,,True,50,50,1.0,5
half,48,0.0820830655069302,,True,,,True,50,50,1.0,12
sqrt,10,0.08194138677025699,-0.026331569022028305,False,-0.07860473170538697,-0.02072789286028605,False,50,46,0.92,12
log,4,0.06897345932556567,0.1075299211712059,False,0.08239582671306656,0.08225108225108226,False,50,17,0.34,12
ten_percent,10,0.08194138677025699,-0.026331569022028305,False,-0.07860473170538697,-0.02072789286028605,False,50,46,0.92,12
original,100,0.0820830655069302,,True,,,True,50,50,1.0,12
half,48,0.07291867302266844,,True,,,True,50,50,1.0,14
sqrt,10,0.07195303810112792,0.10137849129060218,False,0.1310779852768351,0.0853281833651959,False,50,40,0.8,14
log,4,0.06071676873708538,0.06791345084395083,False,-0.06823906963108621,0.02600739970950856,False,50,21,0.42,14
ten_percent,10,0.07195303810112792,0.10137849129060218,False,0.1310779852768351,0.0853281833651959,False,50,40,0.8,14
original,100,0.07291867302266844,,True,,,True,50,50,1.0,14
half,48,0.060263386904947674,,True,,,True,50,50,1.0,9
sqrt,10,0.06001168119287685,0.0461090652353931,False,-0.04149874116870512,0.035921060405354976,False,50,44,0.88,9
log,4,0.04282991243115415,0.3322740741416383,False,0.4603574598346996,0.23357025196876433,False,50,20,0.4,9
ten_percent,10,0.06001168119287685,0.0461090652353931,False,-0.04149874116870512,0.035921060405354976,False,50,44,0.88,9
original,100,0.060263386904947674,,True,,,True,50,50,1.0,9
half,48,0.07072150685109728,,True,,,True,50,50,1.0,1
