dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.22303949589333605,0.19225552719512562,False,0.1640846445694158,0.13665381618853958,False,100,7,0.07,13
sqrt,7,0.19538156984680122,0.24314786378057224,False,0.24029770509296194,0.16545122354974404,False,100,9,0.09,13
log,3,0.24453476901380278,0.2505400868649427,False,0.28848246270163586,0.1743175815249985,False,100,5,0.05,13
ten_percent,5,0.3086074445466642,0.15006421932905414,False,0.15912059136710285,0.107905902264432,False,100,7,0.07,13
original,50,0.07391395496763897,-0.1375282247881596,False,-0.13209526844168884,-0.1128513852802773,False,100,99,0.99,13
half,25,0.21006293107604918,0.25437217533365186,False,0.16024823581093592,0.18159773795721484,False,100,7,0.07,2
sqrt,7,0.21283093742809778,0.24488963387868845,False,0.14571053185590557,0.17430953442715938,False,100,7,0.07,2
log,3,0.21729383592763407,0.19938487499870922,False,0.10662909954202737,0.14749637619014083,False,100,6,0.06,2
ten_percent,5,0.2193348754400269,0.15544386684976425,False,0.09604359764890795,0.11512405768476013,False,100,6,0.06,2
original,50,0.07556052396828507,-0.03888277323113806,False,-0.04810942185680571,-0.031907590202880476,False,99,98,0.98989898989899,2
half,25,0.2036825107277123,0.38905312709696543,False,0.32859709856397146,0.26558000104203683,False,99,5,0.050505050505050504,8
sqrt,7,0.23116787215061016,0.38674988067716953,False,0.32396467268028256,0.26572308831072855,False,100,5,0.05,8
log,3,0.24104186465578217,0.3376500246118052,False,0.3099096192290688,0.22608707209390755,False,100,5,0.05,8
ten_percent,5,0.15979954130627802,0.2992074628887529,False,0.21537136872354026,0.20619925636403053,False,100,11,0.11,8
original,50,0.0923194349608098,0.016256517502848802,False,0.008900504102385359,0.013164599149560146,False,100,98,0.98,8
half,25,0.22729082396692957,0.021109174737276443,False,0.023419149074265573,0.015068689374965317,False,100,13,0.13,6
sqrt,7,0.20320005364323154,0.08734771128937173,False,0.06981759087712686,0.06711560552140244,False,100,12,0.12,6
log,3,0.25890468588097887,-0.002628341685602036,False,0.009674342890794154,-0.002829998498946092,False,100,4,0.04,6
ten_percent,5,0.5331464858652771,-0.01186932936574365,False,0.03665081815450168,-0.008689502268462273,False,100,3,0.03,6
original,50,0.07780826839333001,,True,,,True,99,99,1.0,6
half,25,0.24660517049899605,0.10257583727344526,False,0.0722791070240637,0.0686881319631919,False,99,4,0.04040404040404041,10
sqrt,7,0.17562451417394193,0.21135264549240004,False,0.09343944095943386,0.13462931520796861,False,100,7,0.07,10
log,3,0.1900214754711764,0.20965898124713778,False,0.10664661245773116,0.13454744878798855,False,100,6,0.06,10
ten_percent,5,0.2329053493649711,0.1286845897660319,False,0.08191230713113254,0.08695656618996445,False,100,5,0.05,10
original,50,0.0821717377645726,-0.04595236836407225,False,-0.05024830761820563,-0.03770897023976783,False,99,98,0.98989898989899,10
half,25,0.2212731462713962,0.25409945107778625,False,0.1566806216012563,0.16369595827549582,False,100,8,0.08,12
sqrt,7,0.27947219195838957,0.16232460303744112,False,0.10447717316714836,0.09842822045064586,False,100,10,0.1,12
log,3,0.3281981926890507,0.2314800925162067,False,0.1542418485387635,0.14958563494429344,False,100,4,0.04,12
ten_percent,5,0.2096852602962608,0.23265503639972887,False,0.1483060516697201,0.15571879863505322,False,100,9,0.09,12
original,50,0.08369131528507599,0.02611295407370118,False,0.014532732232428186,0.02142747821777417,False,100,99,0.99,12
half,25,0.35731634391440464,0.046396639663966385,False,0.026824880753882806,0.04000000000000001,False,100,1,0.01,4
sqrt,7,0.27683991758215015,0.09053456008399131,False,0.04813054113153721,0.062114386132199224,False,100,6,0.06,4
log,3,0.24012876391881885,0.1385460110437895,False,0.10559851956561009,0.09904994746311323,False,100,4,0.04,4
ten_percent,5,0.40161257781492304,0.05327332733273327,False,0.05083012529693631,0.03838383838383839,False,100,1,0.01,4
original,50,0.10276690214280222,-0.08440797743350029,False,-0.06365711567798857,-0.06837696748740364,False,98,95,0.9693877551020408,4
half,25,0.17493532863582278,0.34736781171318204,False,0.32659303369402015,0.23966096352426158,False,100,9,0.09,7
sqrt,7,0.2551358784439148,0.25357657270814415,False,0.24804307141148335,0.16137520888277124,False,100,5,0.05,7
log,3,0.19429833666649782,0.36691070637356477,False,0.3465698488884109,0.2519718173783621,False,100,5,0.05,7
ten_percent,5,0.1666730824216496,0.43658085549698855,False,0.3737870385004676,0.2988665484219641,False,100,9,0.09,7
original,50,0.09754162521229147,-0.12015503777630053,False,-0.1018491435444768,-0.09809559994906179,False,97,94,0.9690721649484536,7
half,25,0.17523549215761516,0.20748181814459732,False,0.20971320668558138,0.14378713717405547,False,99,7,0.0707070707070707,11
sqrt,7,0.15588313090175387,0.21101655541551528,False,0.23111255939174327,0.14718122128750857,False,100,7,0.07,11
log,3,0.14913707379609936,0.2567187791435764,False,0.24735699982792428,0.17311190112247615,False,100,10,0.1,11
ten_percent,5,0.14920591655679438,0.18745050324023854,False,0.2041982222349694,0.1290015052129649,False,100,11,0.11,11
original,50,0.08963768522603159,-0.06362635619640773,False,-0.0676349197509877,-0.05221242033198623,False,99,98,0.98989898989899,11
half,25,0.19373445227311525,0.3080977449365933,False,0.2594810935949523,0.22019611369487993,False,100,9,0.09,0
sqrt,7,0.2243431493013745,0.23834613581082142,False,0.23109025800945604,0.16582414947853685,False,100,5,0.05,0
log,3,0.2521104450151188,0.16044848296235692,False,0.17623414843344726,0.10940076419401948,False,100,8,0.08,0
ten_percent,5,0.19374175045611206,0.25780509540468927,False,0.24888839328379134,0.17592913521161616,False,100,7,0.07,0
original,50,0.06895843714104269,0.1732050807568877,False,0.3072602720276109,0.1421338109037403,False,99,98,0.98989898989899,0
half,25,0.29757556971111127,0.15919463577807488,False,0.1066345810439429,0.10662632407709768,False,100,6,0.06,9
sqrt,7,0.25583874789603,0.20106850454732747,False,0.12798041635722182,0.14071464355823818,False,100,9,0.09,9
log,3,0.2802807876493172,0.1506883866146973,False,0.0998504469235914,0.1030470999110617,False,100,7,0.07,9
ten_percent,5,0.25396186189411546,0.20506819051667993,False,0.14324948225839926,0.13816911329689127,False,100,8,0.08,9
original,50,0.07668081488114713,0.05204383528572409,False,0.015034104932012429,0.042709867452135494,False,98,97,0.9897959183673469,9
half,25,0.22235202053689246,0.18973489669995158,False,0.14494191945133023,0.12766833110559514,False,100,6,0.06,5
sqrt,7,0.19051044786421859,0.2065867250890829,False,0.17708368733288346,0.13533279718815744,False,100,8,0.08,5
log,3,0.5706629022410078,0.05698238203089065,False,0.03664074781927367,0.03900171948402834,False,100,3,0.03,5
ten_percent,5,0.19711350602523,0.23188563110757512,False,0.16852313835527288,0.15478182193376092,False,100,8,0.08,5
original,50,0.08986929672350241,-0.05270377820558288,False,-0.0658802032877379,-0.04354444334085279,False,100,98,0.98,5
half,25,0.19972225345190264,0.12395936461194214,False,0.05661358164195363,0.07538654903572849,False,99,10,0.10101010101010101,1
sqrt,7,0.16701345004706622,0.13004652700194436,False,0.05993324980839349,0.08326910724800536,False,100,19,0.19,1
log,3,0.5568896396439394,-0.058806586341904846,False,-0.03386025447582701,-0.04910579188921703,False,100,3,0.03,1
ten_percent,5,0.20333989090440618,0.052922719463830016,False,0.023040020872416474,0.02643948096297672,False,100,12,0.12,1
original,50,0.09749641272465849,-0.05984132653160664,False,-0.04179037652465627,-0.04899092077312955,False,100,97,0.97,1
half,25,0.1771881477334177,0.19818504956588348,False,0.1234693022443866,0.1476348228041069,False,100,15,0.15,3
sqrt,7,0.15799145367166545,0.31276900736227525,False,0.19952709291625909,0.21829236499949756,False,100,13,0.13,3
log,3,0.4414832270901035,0.08805306946655132,False,0.13450141981329453,0.056773411745391834,False,100,2,0.02,3
ten_percent,5,0.19862967393210287,0.17444275312023227,False,0.11916929536916723,0.12491171050122804,False,100,7,0.07,3
original,50,0.10569979860450283,-0.1597177366235109,False,-0.12171004049974522,-0.13153062124461073,False,98,94,0.9591836734693877,3
half,25,0.22554167396730088,0.21132347214648697,False,0.17978580509427572,0.1532242044429384,False,100,4,0.04,14
sqrt,7,0.24290748094550885,0.20243031603218967,False,0.17903670188548243,0.1548413464423362,False,100,4,0.04,14
log,3,0.23290650246352015,0.19968795043156487,False,0.16511324562223334,0.14762393795040474,False,100,5,0.05,14
ten_percent,5,0.19492126410314725,0.2288653391415034,False,0.17890304949577132,0.1654017301126472,False,100,7,0.07,14
original,50,0.086589860529926,-0.14177458577835184,False,-0.11710918757796894,-0.11634756995581738,False,98,97,0.9897959183673469,14
half,25,0.1856403272038036,0.1987492676092208,False,0.13056873326960347,0.13948811756133891,False,100,7,0.07,15
sqrt,7,0.19518524159837466,0.21578796421751675,False,0.13431982087892957,0.1535662578871607,False,100,8,0.08,15
log,3,0.22014347025530484,0.13845674117071863,False,0.11962167012856689,0.09805549975908413,False,100,8,0.08,15
ten_percent,5,0.15537260482744186,0.20133695498245996,False,0.12004183133332508,0.13707853976189469,False,100,12,0.12,15
original,50,0.06933499136494407,0.1191645294997022,False,0.14885909085183668,0.09767662886503667,False,99,97,0.9797979797979798,15
half,25,0.18850017509072997,0.37376817514696986,False,0.27231279005846704,0.2585287752189112,False,100,7,0.07,17
sqrt,7,0.3364521336955816,0.13964038296007333,False,0.15840162222355877,0.10607132087662176,False,100,2,0.02,17
log,3,0.1763330826681653,0.3058299667481179,False,0.24714731648469623,0.211560352469665,False,100,7,0.07,17
ten_percent,5,0.16181515389438111,0.3452648909732324,False,0.2449565039507307,0.23876885115795898,False,100,12,0.12,17
original,50,0.07508814063753495,0.005222590814740238,False,-0.01817807520730214,0.004285495643554834,False,100,99,0.99,17
half,25,0.20029047619887497,0.1661925050405769,False,0.06529062842520061,0.11831490053575441,False,100,8,0.08,16
sqrt,7,0.19310562235099826,0.1383516507286483,False,0.050160148082421134,0.10097390848991732,False,100,9,0.09,16
log,3,0.2134339304148208,0.12082253336945405,False,0.03049718408291682,0.08671023532414877,False,100,8,0.08,16
ten_percent,5,0.20622774196125218,0.13779693152275968,False,0.062037722559693656,0.09778339736157722,False,100,7,0.07,16
original,50,0.07382997503580012,,True,,,True,99,99,1.0,16
half,25,0.17917771306469643,0.09340707239744088,False,0.032137671280166674,0.06305587710270245,False,99,8,0.08080808080808081,30
sqrt,7,0.13112503403076367,0.20822718839273316,False,0.15126784701449852,0.14913368079024916,False,100,17,0.17,30
log,3,0.4070219376520179,0.030363400703065153,False,0.048565182266671454,0.015560271503990582,False,100,3,0.03,30
ten_percent,5,0.2982864886897504,0.049241515053231745,False,0.08781860471780893,0.03213095024850003,False,100,3,0.03,30
original,50,0.07003304590042161,-0.0989743318610787,False,-0.09844968833755642,-0.08121932051642303,False,99,98,0.98989898989899,30
half,25,0.2439634399316332,0.028768603028276298,False,-0.01631575798363266,0.029120338445011346,False,100,5,0.05,21
sqrt,7,0.16791045478495248,0.0962537973763946,False,0.0034886073763399196,0.07551388657529669,False,100,7,0.07,21
log,3,0.21299710634836796,0.06456123540922568,False,-0.003134585694236127,0.05685388437507487,False,100,6,0.06,21
ten_percent,5,0.19781424163580613,0.1063605061170012,False,0.0072540029417859165,0.08523149128203729,False,100,7,0.07,21
original,50,0.07808242302609161,,True,,,True,100,100,1.0,21
half,25,0.19737646138971987,0.3113684780422795,False,0.17665086756148196,0.21346274392050524,False,100,4,0.04,18
sqrt,7,0.20108013856224904,0.3257735546775979,False,0.1963559341136522,0.2139610072539856,False,100,2,0.02,18
log,3,0.3336767217228037,0.08543756901388176,False,0.09426973290699343,0.062443167464066106,False,100,3,0.03,18
ten_percent,5,0.19194944347566595,0.3244441778891445,False,0.18701560737265327,0.21871845541854798,False,100,4,0.04,18
original,50,0.09842270960410154,0.1021908938915762,False,0.0937467667902052,0.08405090226257632,False,100,98,0.98,18
half,25,0.20783140756693316,0.2656059183909511,False,0.17514603194368342,0.18141471520500418,False,100,11,0.11,25
sqrt,7,0.23678970868093704,0.2832665783384712,False,0.21066516791149278,0.19827705439233198,False,100,10,0.1,25
log,3,0.3012818951788223,0.2717517255895322,False,0.25768134971261986,0.18001202379324308,False,100,10,0.1,25
ten_percent,5,0.2700715825904064,0.26851690731879974,False,0.21488340166312894,0.17909847643330268,False,100,4,0.04,25
original,50,0.07696732406629857,,True,,,True,100,100,1.0,25
half,25,0.23337383589935368,0.3835170101692998,False,0.2744151459559363,0.26985521834524806,False,100,8,0.08,26
sqrt,7,0.2169914221750112,0.34241631103138714,False,0.22360166237336238,0.23789096473131013,False,100,11,0.11,26
log,3,0.5196676620971536,0.17344342567616503,False,0.15847771972274605,0.12104678741416051,False,100,3,0.03,26
ten_percent,5,0.34209826311526625,0.28604518600291745,False,0.22948674755711684,0.19163132692863538,False,100,4,0.04,26
original,50,0.07589855535765079,-0.15309310892394865,False,-0.11924411267416829,-0.1256426777581042,False,97,96,0.9896907216494846,26
half,25,0.18787955674372042,0.3355064625506573,False,0.27242003233622014,0.22683660433493236,False,99,7,0.0707070707070707,19
sqrt,7,0.1707095881814763,0.3445825303031641,False,0.27179016267755113,0.23763337500036766,False,100,9,0.09,19
log,3,0.18785933721656234,0.29362269502698146,False,0.2568656289396924,0.19981824678235346,False,100,7,0.07,19
ten_percent,5,0.20705040696839425,0.30762121994899866,False,0.26014278116158673,0.20667351313056664,False,100,5,0.05,19
original,50,0.07681869296525089,,True,,,True,97,97,1.0,19
half,25,0.22808475268371517,0.2764389611835584,False,0.18206725776138916,0.18530868791116056,False,100,3,0.03,20
sqrt,7,0.21469984731848396,0.2804907416503391,False,0.18655134427490608,0.18922280325410035,False,100,8,0.08,20
log,3,0.27775794471257675,0.166439143232502,False,0.12526566196619107,0.10849580821094454,False,100,2,0.02,20
ten_percent,5,0.22312901767847712,0.25922947718303696,False,0.1746730816818173,0.1779576238306249,False,100,5,0.05,20
original,50,0.08302461884610231,0.14492670022515095,False,0.14472462456398924,0.11892829075619085,False,99,98,0.98989898989899,20
half,25,0.17967421009489012,0.23342489251108822,False,0.21229032325199787,0.16477224278968478,False,99,8,0.08080808080808081,24
sqrt,7,0.176619922298757,0.1969367818374493,False,0.178819275769754,0.13503421540408284,False,100,7,0.07,24
log,3,0.3183767625640762,0.10396351530377917,False,0.10800944974647604,0.07155853347335119,False,100,4,0.04,24
ten_percent,5,0.18426587197844702,0.23973829515796408,False,0.1974004025718344,0.17234502453098335,False,100,9,0.09,24
original,50,0.09422402431116014,0.07846886892261365,False,0.0829024454761089,0.06495811911303347,False,98,95,0.9693877551020408,24
half,25,0.26039216619056765,0.31801488295379104,False,0.24950180330541005,0.22527817380376836,False,100,5,0.05,22
