dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.06891440865225978,,True,,,True,49,49,1.0,10
sqrt,7,0.06536521732241089,0.053845445845115074,False,0.1320606433831313,0.03414938883812553,False,50,35,0.7,10
log,3,0.05439377217872973,0.33651788666517707,False,0.37498704582398545,0.2356124998300172,False,50,18,0.36,10
ten_percent,5,0.062045786303352904,0.20806346444708965,False,0.17189233443492966,0.1596652510024456,False,50,34,0.68,10
original,50,0.06786411162405223,,True,,,True,50,50,1.0,10
half,25,0.07618374946260004,,True,,,True,50,50,1.0,2
sqrt,7,0.0710166465625978,0.0676362986104532,False,-0.03548002985201293,0.05991946524641111,False,50,27,0.54,2
log,3,0.26363370856184626,-0.13226004918026904,False,-0.1641293026494741,-0.10020724014040058,False,50,6,0.12,2
ten_percent,5,0.05938924808390702,0.24815091422079033,False,0.19956974640628355,0.1873890614654345,False,50,20,0.4,2
original,50,0.07618374946260004,,True,,,True,50,50,1.0,2
half,25,0.08173366737049793,,True,,,True,50,50,1.0,7
sqrt,7,0.07695444818788783,0.0230464125919667,False,-0.05151476353168411,0.008132206479597942,False,50,30,0.6,7
log,3,0.06659377780676527,-0.24277562033220038,False,-0.2778546855309561,-0.169623465781532,False,50,7,0.14,7
ten_percent,5,0.07836031515628865,0.058347375310713254,False,-0.047173101499867816,0.05463902214100085,False,50,35,0.7,7
original,50,0.08173366737049793,,True,,,True,50,50,1.0,7
half,25,0.08618216074133957,,True,,,True,50,50,1.0,6
sqrt,7,0.08063133031370211,0.3318988262598237,False,0.23265673590335248,0.2572587292472124,False,50,35,0.7,6
log,3,0.08181899347668031,0.31974842618882043,False,0.3213510720059177,0.22424242424242424,False,50,17,0.34,6
ten_percent,5,0.0668321784814395,0.4017883524079132,False,0.3548831719975978,0.29393961230522136,False,50,19,0.38,6
original,50,0.1029833469664365,0.014849119900183652,False,-0.014296508688211473,0.012244897959183673,False,50,49,0.98,6
half,25,0.0729130329956276,,True,,,True,50,50,1.0,12
sqrt,7,0.06240251718654616,0.08426095649484819,False,0.17817439482432873,0.060285408222111016,False,50,24,0.48,12
log,3,0.058125959698583377,0.026985656840775533,False,-0.06771449227552417,0.010023520220651762,False,50,11,0.22,12
ten_percent,5,0.06564788888406142,0.015222976430187078,False,-0.1172072990431383,0.013912017282025617,False,50,24,0.48,12
original,50,0.0729130329956276,,True,,,True,50,50,1.0,12
half,25,0.0722969401384748,,True,,,True,50,50,1.0,9
sqrt,7,0.06989233386132676,-0.002104639109800779,False,-0.16243314417132754,-0.003246660081765301,False,50,33,0.66,9
log,3,0.07739211643508559,-0.10092810993806467,False,-0.12620074643084644,-0.05928587153529274,False,50,7,0.14,9
ten_percent,5,0.06513894544336452,0.0513280344737509,False,-0.03691690099264758,0.03238095238095238,False,50,26,0.52,9
original,50,0.0722969401384748,,True,,,True,50,50,1.0,9
half,25,0.07295125041899113,,True,,,True,50,50,1.0,3
sqrt,7,0.069052955140643,-0.048712446171318514,False,-0.022657285395264286,-0.04039517973788779,False,50,25,0.5,3
log,3,0.0634133023297936,-0.09655175828603216,False,0.027203667999846918,-0.09527901521546286,False,50,6,0.12,3
ten_percent,5,0.05575433788845492,-0.15095523781803236,False,-0.1322980213370864,-0.10184998178204649,False,50,6,0.12,3
original,50,0.07295125041899113,,True,,,True,50,50,1.0,3
half,25,0.07803878619366585,,True,,,True,50,50,1.0,8
sqrt,7,0.07318109667796842,0.1824874187706203,False,0.14253007613138186,0.13680409287788792,False,50,31,0.62,8
log,3,0.1236027508414423,0.019836696057139287,False,-0.001671061345921737,0.004091665358044319,False,50,4,0.08,8
ten_percent,5,0.0644838136107388,0.08677838170629422,False,0.006179183322966499,0.06336422780232316,False,50,19,0.38,8
original,50,0.07803878619366585,,True,,,True,50,50,1.0,8
half,25,0.07062165998916564,,True,,,True,50,50,1.0,11
sqrt,7,0.06357742819570651,0.06770664972603578,False,-0.0691634233478699,0.05691564806354256,False,50,35,0.7,11
log,3,0.05101751501562535,0.3412344695656501,False,0.25323318294928016,0.21459058216116023,False,50,10,0.2,11
ten_percent,5,0.06111792081376431,0.14176496241562403,False,0.08934044214139059,0.09057749554001256,False,50,21,0.42,11
original,50,0.07062165998916564,,True,,,True,50,50,1.0,11
half,25,0.08660054878757134,,True,,,True,50,50,1.0,5
sqrt,7,0.08472795656853067,0.084716919702188,False,0.13617157076934674,0.06753246753246754,False,50,39,0.78,5
log,3,0.05108423486355668,0.506204229056768,False,0.6054105207073814,0.3636909911260369,False,50,15,0.3,5
