dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.0673428606350989,,True,,,True,100,100,1.0,9
sqrt,7,0.06274670126058268,0.07872454503494009,False,0.007941689173865285,0.05839635980697999,False,100,48,0.48,9
log,3,0.054530850462019324,-0.0032964091529702386,False,-0.02946262351740939,-0.00327766331407141,False,100,17,0.17,9
ten_percent,5,0.056990161121060784,0.14322866810074364,False,0.16264308094763927,0.10796368618635349,False,100,45,0.45,9
original,50,0.06772566825936588,,True,,,True,99,99,1.0,9
half,25,0.07778969052299646,,True,,,True,100,100,1.0,4
sqrt,7,0.07305369730492574,0.1540552354948245,False,0.000491659213188968,0.12291506983279904,False,100,54,0.54,4
log,3,0.0527497516505715,0.2619235088840518,False,0.2736401424846085,0.17980103539304865,False,100,22,0.22,4
ten_percent,5,0.0710233934947003,-0.0023648636729611465,False,0.0072457486841781115,0.0060803797055097005,False,100,37,0.37,4
original,50,0.08304984254198469,-0.14449167920781322,False,-0.12522834472428668,-0.11856537947168375,False,100,99,0.99,4
half,25,0.07995631480558318,,True,,,True,100,100,1.0,11
sqrt,7,0.07790438363980556,-0.052069947872506635,False,-0.07533731807731835,-0.03411227609550991,False,100,64,0.64,11
log,3,0.05158767174466457,0.18274853266282345,False,0.1967318941220812,0.12428099482066345,False,100,21,0.21,11
ten_percent,5,0.0668593921313281,0.03445408275873534,False,0.04799812977375999,0.020019358082505722,False,100,32,0.32,11
original,50,0.08899091375760015,-0.06093022617196943,False,-0.06602830019549256,-0.0499974491748064,False,100,99,0.99,11
half,25,0.06841588955730944,,True,,,True,100,100,1.0,0
sqrt,7,0.058617276332317364,0.17848202257120957,False,0.16944470601331785,0.13074220886865925,False,100,40,0.4,0
log,3,0.0663275358708818,-0.0636296038860703,False,-0.06840437906554235,-0.045352874165752476,False,100,18,0.18,0
ten_percent,5,0.06569615869524346,0.14097669245624755,False,0.03505581640997532,0.10813562234130174,False,100,52,0.52,0
original,50,0.06841588955730944,,True,,,True,100,100,1.0,0
half,25,0.07562082236553075,,True,,,True,100,100,1.0,10
sqrt,7,0.07038050140866971,0.22609361404789866,False,0.17216815545116845,0.1730713419671548,False,100,59,0.59,10
log,3,0.05403045988603907,0.24231013412399113,False,0.14702291449535304,0.1511822203615438,False,100,17,0.17,10
ten_percent,5,0.06603832680590545,0.12031243936189831,False,0.06541615315544091,0.08295375169659663,False,100,37,0.37,10
original,50,0.07660245684538973,,True,,,True,98,98,1.0,10
half,25,0.07518065483467835,,True,,,True,99,99,1.0,1
sqrt,7,0.0658456025160319,0.13574117452524204,False,0.20969292304149378,0.1015211725600973,False,100,51,0.51,1
log,3,0.37112100481945226,-0.10239299112773828,False,-0.08018035828466971,-0.06899350381459263,False,100,6,0.06,1
ten_percent,5,0.06657286071956994,-0.07656973489954344,False,-0.13779896005986259,-0.058367704249235416,False,100,35,0.35,1
original,50,0.08265704425298381,0.16190031525694734,False,0.20014495739926125,0.13285036495019983,False,100,99,0.99,1
half,25,0.0768222739855135,,True,,,True,99,99,1.0,8
sqrt,7,0.07078559051341564,0.005074643107699637,False,0.018846431968207945,0.00283324774693367,False,100,52,0.52,8
log,3,0.054864043177116864,0.2898899669895088,False,0.2809136571521074,0.20065633753354906,False,100,20,0.2,8
ten_percent,5,0.062400125123931165,0.0739805437533979,False,0.0008449562321554044,0.057515575238346675,False,100,31,0.31,8
original,50,0.07737194894840599,,True,,,True,100,100,1.0,8
half,25,0.07880764178747686,,True,,,True,100,100,1.0,3
sqrt,7,0.07358853683200352,0.2106586465425376,False,0.08500971085567444,0.15314416740860734,False,100,57,0.57,3
log,3,0.059984483902117025,0.04162141080213634,False,0.02464755249999501,0.03315141098765423,False,100,4,0.04,3
ten_percent,5,0.07011123990786042,0.06869526934870629,False,0.025767779369305688,0.047574935476537523,False,100,36,0.36,3
original,50,0.07880764178747686,,True,,,True,100,100,1.0,3
half,25,0.07675213708842041,,True,,,True,100,100,1.0,7
sqrt,7,0.06415270585391018,0.13638294018153221,False,0.06384291860181801,0.08507469807545383,False,100,35,0.35,7
log,3,0.05448618856778409,0.19760567667842882,False,0.17265032178003686,0.13518779342078596,False,100,14,0.14,7
ten_percent,5,0.0685697118091564,0.045932048945449166,False,0.04598133133899854,0.02940996011276865,False,100,36,0.36,7
original,50,0.07778134971478529,,True,,,True,98,98,1.0,7
half,25,0.07309222480148127,,True,,,True,99,99,1.0,13
sqrt,7,0.07204259040669986,-0.005599948142797121,False,0.06319271949792576,-0.00568675674701113,False,100,77,0.77,13
log,3,0.06387344854260295,0.21134404826603867,False,0.2547011928526734,0.13928356124967942,False,100,13,0.13,13
ten_percent,5,0.05727506437876688,-0.0871373501964202,False,-0.11551163444210914,-0.0601516566001118,False,100,27,0.27,13
original,50,0.07294590330703801,,True,,,True,100,100,1.0,13
half,25,0.07298052961434993,,True,,,True,100,100,1.0,5
sqrt,7,0.07038447546826568,0.14298943775126205,False,0.14189594253506194,0.10767805045586852,False,100,58,0.58,5
log,3,0.4019968954188938,0.02499879986738526,False,-0.03723539251337873,0.01596443440019813,False,100,3,0.03,5
ten_percent,5,0.06318925444361853,0.032666645952817076,False,0.023024981406069425,0.02821464670350494,False,100,35,0.35,5
original,50,0.07298052961434993,,True,,,True,100,100,1.0,5
half,25,0.06653295408264574,0.23566154572871123,False,0.3755868370607886,0.1939722452077776,False,100,97,0.97,2
sqrt,7,0.05705552963250682,0.03325713700372971,False,0.02329927635905711,0.022116804279233314,False,100,41,0.41,2
log,3,0.08806638119669578,0.14344193782507192,False,0.06896464122761722,0.10281352921738457,False,100,18,0.18,2
ten_percent,5,0.060426469511487696,0.1096497459959961,False,0.03723913704461133,0.07484720812628072,False,100,43,0.43,2
