dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.08189356765948914,0.09946433500242821,False,0.06951956657204549,0.08321783316232577,False,20,19,0.95,7
sqrt,4,0.07617090435449957,0.4905144080702724,False,0.5040460314538486,0.39089814304278225,False,20,12,0.6,7
log,2,0.3010664725060036,-0.06943445663726469,False,0.10806475463340383,-0.06417938247608372,False,20,4,0.2,7
ten_percent,2,0.3010664725060036,-0.06943445663726469,False,0.10806475463340383,-0.06417938247608372,False,20,4,0.2,7
original,20,0.08200986163998081,,True,,,True,20,20,1.0,7
half,10,0.08298719667538701,,True,,,True,20,20,1.0,15
sqrt,4,0.0799553331987555,-0.36491556309726153,False,-0.4372347977453973,-0.27362870012994756,False,20,12,0.6,15
log,2,0.07526590591362095,-0.36898504794126713,False,-0.4332782289133792,-0.27359422722270776,False,20,8,0.4,15
ten_percent,2,0.07526590591362095,-0.36898504794126713,False,-0.4332782289133792,-0.27359422722270776,False,20,8,0.4,15
original,20,0.08298719667538701,,True,,,True,20,20,1.0,15
half,10,0.074363059401406,0.4450824179152781,False,0.3743995858262236,0.3554093266554554,False,20,17,0.85,16
sqrt,4,0.057940121822979605,-0.007882817904764727,False,0.06676100951001994,0.02338421688774671,False,20,9,0.45,16
log,2,0.06041997283534757,0.2232579412705155,False,0.13333183387454323,0.15903846416105372,False,20,6,0.3,16
ten_percent,2,0.06041997283534757,0.2232579412705155,False,0.13333183387454323,0.15903846416105372,False,20,6,0.3,16
original,20,0.0748364829594615,,True,,,True,20,20,1.0,16
half,10,0.08494591714247653,0.2958519523867152,False,0.34133387215808575,0.25046187774756545,False,20,18,0.9,17
sqrt,4,0.07446790437658479,0.45170570665436505,False,0.5787795138288888,0.38388594797495723,False,20,13,0.65,17
log,2,0.18533518741594532,0.37500042527108196,False,0.3877828256575629,0.2493447647503661,False,20,3,0.15,17
ten_percent,2,0.18533518741594532,0.37500042527108196,False,0.3877828256575629,0.2493447647503661,False,20,3,0.15,17
original,20,0.0859258293846441,,True,,,True,20,20,1.0,17
half,10,0.07270539093203858,-0.08226127456606226,False,-0.13843797336592978,-0.059633780416087016,False,20,18,0.9,18
sqrt,4,0.06890228438230936,0.07234349208136316,False,0.0011977514113038397,0.04113063728303113,False,20,13,0.65,18
log,2,0.05875678337790822,0.4197090138612267,False,0.3915040118928171,0.29199855803537256,False,20,5,0.25,18
ten_percent,2,0.05875678337790822,0.4197090138612267,False,0.3915040118928171,0.29199855803537256,False,20,5,0.25,18
original,20,0.0730544307592356,,True,,,True,20,20,1.0,18
half,10,0.0711390316480909,,True,,,True,20,20,1.0,0
sqrt,4,0.06148381869663361,0.11469090208020988,False,0.15242253468332592,0.08226127456606226,False,20,13,0.65,0
log,2,0.07071345429289858,0.09789167727959971,False,0.010777992784304708,0.06896770088839914,False,20,3,0.15,0
ten_percent,2,0.07071345429289858,0.09789167727959971,False,0.010777992784304708,0.06896770088839914,False,20,3,0.15,0
original,20,0.0711390316480909,,True,,,True,20,20,1.0,0
half,10,0.07627364071193171,,True,,,True,20,20,1.0,19
sqrt,4,0.07022689455531575,-0.18817684851168456,False,-0.12965750915845975,-0.13853490243227223,False,20,14,0.7,19
log,2,0.041325520620288485,0.28431743266762965,False,0.3375756395693362,0.18469721283454685,False,20,2,0.1,19
ten_percent,2,0.041325520620288485,0.28431743266762965,False,0.3375756395693362,0.18469721283454685,False,20,2,0.1,19
original,20,0.07627364071193171,,True,,,True,20,20,1.0,19
half,10,0.06381407817857117,0.01693248329025514,False,-0.07108733746725561,0.019744962591969742,False,20,17,0.85,13
sqrt,4,0.049065905409528446,0.06818377481500072,False,0.15635673019229573,0.04325904563487001,False,20,5,0.25,13
log,2,0.12977267527364314,0.1500043045930016,False,0.15845916041758604,0.11896237549589252,False,20,5,0.25,13
ten_percent,2,0.12977267527364314,0.1500043045930016,False,0.15845916041758604,0.11896237549589252,False,20,5,0.25,13
original,20,0.06623387716476625,,True,,,True,20,20,1.0,13
