dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.26516495575465227,0.294448716688272,False,0.23875883581886181,0.20232535176711539,False,199,5,0.02512562814070352,0
sqrt,10,0.19750789481389788,0.3675938926721286,False,0.2574335457153162,0.2586228974778994,False,200,15,0.075,0
log,4,0.31255337881050044,0.23712628384678874,False,0.20644999712315287,0.15955976626484503,False,200,3,0.015,0
ten_percent,10,0.19750789481389788,0.3675938926721286,False,0.2574335457153162,0.2586228974778994,False,200,15,0.075,0
original,100,0.09934840293333756,0.0162273024199895,False,-0.034407186719776925,0.013203083392898126,False,190,178,0.9368421052631579,0
half,50,0.23911067779843773,0.3839330373947625,False,0.33168331800963846,0.25670526914283176,False,194,10,0.05154639175257732,12
sqrt,10,0.1988988878297869,0.4116303145388226,False,0.33956289513915805,0.2800524233924271,False,200,9,0.045,12
log,4,0.3454916791113252,0.33002937449540104,False,0.32255997085404525,0.22286992142516002,False,200,2,0.01,12
ten_percent,10,0.1988988878297869,0.4116303145388226,False,0.33956289513915805,0.2800524233924271,False,200,9,0.045,12
original,100,0.10066051436912032,-0.014304187343722349,False,-0.0007333026509638516,-0.011251398476398557,False,196,189,0.9642857142857143,12
half,50,0.1876279038827209,0.3316329905703143,False,0.18876822147975897,0.23995835196992274,False,199,16,0.08040201005025126,1
sqrt,10,0.19045452390155215,0.37054484644530067,False,0.23373301510879027,0.2705810563850049,False,200,13,0.065,1
log,4,0.31991144495338025,0.2218383778549232,False,0.21263870908932733,0.15188219502188263,False,200,4,0.02,1
ten_percent,10,0.19045452390155215,0.37054484644530067,False,0.23373301510879027,0.2705810563850049,False,200,13,0.065,1
original,100,0.10172919174733823,-0.0032622472742399405,False,0.0012747501988805952,-0.002500423577013933,False,193,184,0.9533678756476683,1
half,50,0.25843723105952354,0.3021408283536269,False,0.27096554515180904,0.2105101332969392,False,198,6,0.030303030303030304,7
sqrt,10,0.19357688301721632,0.33741826236014577,False,0.2658188388484154,0.23838487135608383,False,200,14,0.07,7
log,4,0.18373826526136916,0.347781842742896,False,0.3105068014190075,0.2417855418987765,False,200,18,0.09,7
ten_percent,10,0.19357688301721632,0.33741826236014577,False,0.2658188388484154,0.23838487135608383,False,200,14,0.07,7
