dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.06408553553699162,0.20814061938404949,False,0.2500735126560741,0.16507094416650833,False,50,38,0.76,2
sqrt,4,0.052266674916820695,0.20629643958116872,False,0.1859013523883987,0.1531259138901328,False,50,25,0.5,2
log,2,0.05302421677235575,0.16545870295977838,False,0.18887832719152917,0.10979053040803546,False,50,10,0.2,2
ten_percent,2,0.05302421677235575,0.16545870295977838,False,0.18887832719152917,0.10979053040803546,False,50,10,0.2,2
original,20,0.06519348421234565,,True,,,True,50,50,1.0,2
half,10,0.06799130704589729,-0.029526920603497948,False,0.04193640946536265,-0.019106681574012095,False,50,43,0.86,11
sqrt,4,0.055914269514757385,0.09018732130980678,False,0.06980803965424745,0.07233555441435721,False,50,25,0.5,11
log,2,0.2603767836701525,0.10427473883789198,False,0.024533709972405657,0.08919830480536618,False,50,4,0.08,11
ten_percent,2,0.2603767836701525,0.10427473883789198,False,0.024533709972405657,0.08919830480536618,False,50,4,0.08,11
original,20,0.06852289085101107,,True,,,True,49,49,1.0,11
half,10,0.07540732895215874,0.3262164421683158,False,0.33696048328345296,0.24935064935064935,False,50,39,0.78,15
sqrt,4,0.06962816559583325,-0.043674560902859094,False,-0.1566439340874799,-0.04351689105121464,False,50,20,0.4,15
log,2,0.053542288337789054,0.06948123814221223,False,0.1257469496530044,0.04940489294607728,False,50,7,0.14,15
ten_percent,2,0.053542288337789054,0.06948123814221223,False,0.1257469496530044,0.04940489294607728,False,50,7,0.14,15
original,20,0.07741291410387884,,True,,,True,50,50,1.0,15
half,10,0.07010851936034648,0.27183973799291683,False,0.18141719184332475,0.20670402520572417,False,50,33,0.66,9
sqrt,4,0.06068976480835739,0.09724352599909708,False,0.11313095274759748,0.07538255305193657,False,50,27,0.54,9
log,2,0.17864091141105415,0.11071085813972412,False,0.09992075968016442,0.07937830794605981,False,50,4,0.08,9
ten_percent,2,0.17864091141105415,0.11071085813972412,False,0.09992075968016442,0.07937830794605981,False,50,4,0.08,9
original,20,0.07200960304043665,,True,,,True,50,50,1.0,9
half,10,0.0745357199387475,0.07197097636373168,False,0.006699201419037324,0.05302632726504782,False,50,44,0.88,13
sqrt,4,0.06010529137929157,0.16778586788673358,False,0.2421738854539662,0.10649350649350649,False,50,17,0.34,13
log,2,0.22199470679430597,0.17074593539307656,False,0.14687061574488616,0.10539710495163153,False,50,7,0.14,13
ten_percent,2,0.22199470679430597,0.17074593539307656,False,0.14687061574488616,0.10539710495163153,False,50,7,0.14,13
original,20,0.07406981015259473,0.014849119900183652,False,0.02702463310200316,0.012244897959183673,False,50,49,0.98,13
half,10,0.08367754841096747,0.017554379348018876,False,0.14385035662904144,0.008291157144114419,False,50,46,0.92,7
sqrt,4,0.0697288714271381,-0.05404547091115441,False,-0.07187908300911046,-0.026179166647779688,False,50,18,0.36,7
log,2,0.06152366808468159,0.08049984824743846,False,0.052150453828387094,0.055853215815960984,False,50,6,0.12,7
ten_percent,2,0.06152366808468159,0.08049984824743846,False,0.052150453828387094,0.055853215815960984,False,50,6,0.12,7
original,20,0.083920730163887,,True,,,True,50,50,1.0,7
half,10,0.08184091237387019,0.15942507057403443,False,0.19925558033692528,0.13171055481963492,False,50,44,0.88,6
sqrt,4,0.07107575625665302,0.09841665257996544,False,0.1078403789090791,0.07371228484185338,False,50,20,0.4,6
log,2,0.14856157106537193,0.049508991826799194,False,0.07448312686024153,0.026133117736001348,False,50,2,0.04,6
ten_percent,2,0.14856157106537193,0.049508991826799194,False,0.07448312686024153,0.026133117736001348,False,50,2,0.04,6
original,20,0.08268980936395798,,True,,,True,50,50,1.0,6
half,10,0.08329652434730805,0.0535657461292107,False,0.06704049994271412,0.04193139346887673,False,50,42,0.84,5
sqrt,4,0.07036809127398908,-0.00865507585512711,False,-0.02065242486780316,-0.012588717759558141,False,50,12,0.24,5
log,2,0.3148806039174626,0.003938520766792788,False,0.05400003248969322,-0.000818333071608864,False,50,4,0.08,5
ten_percent,2,0.3148806039174626,0.003938520766792788,False,0.05400003248969322,-0.000818333071608864,False,50,4,0.08,5
original,20,0.0848156357552959,,True,,,True,50,50,1.0,5
half,10,0.0829156474558328,-0.10946370873314827,False,-0.2633852890741167,-0.08985298600473585,False,50,42,0.84,1
sqrt,4,0.06232230039688398,0.214303584646335,False,0.29424160336505495,0.15489033462790108,False,50,19,0.38,1
log,2,0.08227957621171927,-0.06034217340387495,False,-0.07003133998854905,-0.017400443716972247,False,50,9,0.18,1
ten_percent,2,0.08227957621171927,-0.06034217340387495,False,-0.07003133998854905,-0.017400443716972247,False,50,9,0.18,1
original,20,0.08390761675886207,,True,,,True,50,50,1.0,1
half,10,0.0668740416435077,0.06823976646096983,False,-0.00668321409020673,0.05238095238095238,False,50,47,0.94,17
sqrt,4,0.053903241078156396,0.13216121568315464,False,0.18102398817679732,0.07854359432768872,False,50,15,0.3,17
log,2,0.06292442951369026,-0.2819601574489763,False,-0.24788056515434895,-0.19262456854153293,False,50,5,0.1,17
ten_percent,2,0.06292442951369026,-0.2819601574489763,False,-0.24788056515434895,-0.19262456854153293,False,50,5,0.1,17
original,20,0.06704815842520323,,True,,,True,50,50,1.0,17
half,10,0.08057560880888519,0.15893601198163182,False,0.11926849168140642,0.12419343023107862,False,50,43,0.86,10
sqrt,4,0.06114875551465316,0.093561881214113,False,0.1731080718215166,0.06367328894396923,False,50,21,0.42,10
log,2,0.05138501981178822,0.3506395567067945,False,0.40717999291960316,0.24277761947966042,False,50,9,0.18,10
ten_percent,2,0.05138501981178822,0.3506395567067945,False,0.40717999291960316,0.24277761947966042,False,50,9,0.18,10
original,20,0.080845912905245,,True,,,True,50,50,1.0,10
half,10,0.05892115062175313,0.16762192874808382,False,0.2182418099917181,0.12868475730966894,False,50,22,0.44,8
sqrt,4,0.05964632230865169,-0.04960868454126222,False,-0.07989457054062273,-0.03493335058437492,False,50,10,0.2,8
log,2,0.2000385954513502,0.1915406255417248,False,0.08784964514980469,0.13141593791264852,False,50,10,0.2,8
ten_percent,2,0.2000385954513502,0.1915406255417248,False,0.08784964514980469,0.13141593791264852,False,50,10,0.2,8
original,20,0.07161541017589965,,True,,,True,49,49,1.0,8
half,10,0.0753707944186635,0.19073159457149697,False,0.18172613236784,0.15565792842320492,False,50,44,0.88,3
sqrt,4,0.06642602875670328,0.18378051128578307,False,0.18786598289460738,0.13904927767732028,False,50,19,0.38,3
log,2,0.05392260473250831,0.2620091810636086,False,0.26834040184184077,0.18279810390048595,False,50,7,0.14,3
ten_percent,2,0.05392260473250831,0.2620091810636086,False,0.26834040184184077,0.18279810390048595,False,50,7,0.14,3
original,20,0.0764295234208282,,True,,,True,50,50,1.0,3
half,10,0.06658781673821766,0.1911942485976243,False,0.0995019315298189,0.1472397650606341,False,50,45,0.9,4
sqrt,4,0.07535733031668744,0.010975990050915384,False,-0.003772099600275557,0.014267213460832562,False,50,12,0.24,4
log,2,0.044174150567451956,0.246622332478482,False,0.22223867656266857,0.17456395507613973,False,50,7,0.14,4
ten_percent,2,0.044174150567451956,0.246622332478482,False,0.22223867656266857,0.17456395507613973,False,50,7,0.14,4
original,20,0.06871810863679338,,True,,,True,50,50,1.0,4
half,10,0.082067184263737,0.12007119772062513,False,-0.004254039266599404,0.09561828874675149,False,50,35,0.7,0
sqrt,4,0.06426962726359889,0.24469792995452094,False,0.3189886513714593,0.1670995670995671,False,50,17,0.34,0
log,2,0.174299959649723,0.247160796248822,False,0.21733819303618704,0.16659862556700858,False,50,2,0.04,0
ten_percent,2,0.174299959649723,0.247160796248822,False,0.21733819303618704,0.16659862556700858,False,50,2,0.04,0
original,20,0.0885619419803248,0.004949706633394551,False,-0.011238308854176055,0.004081632653061224,False,50,49,0.98,0
half,10,0.08893615862807355,-0.11390244331408006,False,-0.08613818622229891,-0.08386278693775347,False,50,42,0.84,12
sqrt,4,0.07646370577454147,0.005241777478505254,False,0.06246170181749377,0.009523809523809523,False,50,17,0.34,12
log,2,0.0860445190683874,0.10898191413644774,False,0.1111314947272057,0.07043036742584004,False,50,9,0.18,12
ten_percent,2,0.0860445190683874,0.10898191413644774,False,0.1111314947272057,0.07043036742584004,False,50,9,0.18,12
original,20,0.08935745455243806,,True,,,True,50,50,1.0,12
half,10,0.0747870294496899,,True,,,True,50,50,1.0,16
sqrt,4,0.062370270678494585,0.26576805461671554,False,0.2892791661149266,0.18481233109010925,False,50,19,0.38,16
log,2,0.15004085108557305,0.11206403632148206,False,0.11386903208593696,0.07043036742584004,False,50,9,0.18,16
ten_percent,2,0.15004085108557305,0.11206403632148206,False,0.11386903208593696,0.07043036742584004,False,50,9,0.18,16
original,20,0.0747870294496899,,True,,,True,50,50,1.0,16
half,10,0.08602820321798753,0.18252456245764523,False,0.19041365411731206,0.15096735404951092,False,50,45,0.9,18
sqrt,4,0.07093842356872151,0.3653420020262009,False,0.2641028629259951,0.26043145970234943,False,50,16,0.32,18
log,2,0.18346586390777617,0.21173702253934787,False,0.2676371118650136,0.16673490258412443,False,50,3,0.06,18
ten_percent,2,0.18346586390777617,0.21173702253934787,False,0.2676371118650136,0.16673490258412443,False,50,3,0.06,18
original,20,0.08612494004298828,,True,,,True,50,50,1.0,18
half,10,0.06693577003492618,0.13448691699037135,False,0.1117539227757741,0.10504514628777803,False,50,38,0.76,14
sqrt,4,0.054308014249306404,-0.08446493228016658,False,-0.11706565828393466,-0.04657780077916657,False,50,10,0.2,14
log,2,0.06775267288222425,0.13548336617914056,False,0.09136758133040312,0.08812102431690699,False,50,12,0.24,14
ten_percent,2,0.06775267288222425,0.13548336617914056,False,0.09136758133040312,0.08812102431690699,False,50,12,0.24,14
original,20,0.08862138862615201,-0.07144345083117602,False,-0.08470916754523093,-0.05892556509887895,False,49,48,0.9795918367346939,14
half,10,0.07606031769776059,0.02554790490185332,False,-0.05171250065628157,0.027956917416576094,False,50,45,0.9,19
sqrt,4,0.0640121266603067,0.11252675577688381,False,0.09369098374924237,0.09090909090909091,False,50,17,0.34,19
log,2,0.24614330776157306,0.10160128456366396,False,0.1057725669831497,0.0658731905947697,False,50,7,0.14,19
ten_percent,2,0.24614330776157306,0.10160128456366396,False,0.1057725669831497,0.0658731905947697,False,50,7,0.14,19
original,20,0.0762951794051738,,True,,,True,50,50,1.0,19
half,10,0.073597040513355,0.1545764250254673,False,0.09633081464865226,0.11512532676256589,False,50,40,0.8,21
sqrt,4,0.06358762775167733,-0.11445973590246654,False,-0.06051890223192177,-0.08185874846865604,False,50,11,0.22,21
log,2,0.051092347669041145,0.38033981383480353,False,0.479767214724369,0.2626845772494466,False,50,12,0.24,21
ten_percent,2,0.051092347669041145,0.38033981383480353,False,0.479767214724369,0.2626845772494466,False,50,12,0.24,21
original,20,0.07431001797831048,,True,,,True,50,50,1.0,21
half,10,0.08155004902831692,0.023010331452291317,False,0.06686850203012064,0.021295885499997995,False,50,41,0.82,24
sqrt,4,0.0678238286401987,0.2478954203112324,False,0.2025543895015083,0.1494732423655864,False,50,8,0.16,24
log,2,0.05674761740269043,0.34726848556691325,False,0.319656802984745,0.2212342129729329,False,50,9,0.18,24
ten_percent,2,0.05674761740269043,0.34726848556691325,False,0.319656802984745,0.2212342129729329,False,50,9,0.18,24
original,20,0.08089291249816856,,True,,,True,49,49,1.0,24
half,10,0.08443831944339573,-0.0051030058169854765,False,-0.0394031024048788,0.0,False,50,34,0.68,20
sqrt,4,0.07480034602213308,-0.022792583900349342,False,0.06313606348843182,-0.014662863979419067,False,50,23,0.46,20
log,2,0.13828340606808576,0.18469026692334753,False,0.1942453831861475,0.12680589189493172,False,50,7,0.14,20
ten_percent,2,0.13828340606808576,0.18469026692334753,False,0.1942453831861475,0.12680589189493172,False,50,7,0.14,20
original,20,0.08821596582574363,,True,,,True,50,50,1.0,20
half,10,0.06581319163162513,0.17421282313584535,False,0.2537773803931714,0.13659755535250212,False,50,35,0.7,22
sqrt,4,0.06256285954061087,0.005403276221300244,False,-0.09852971333282426,0.00512240832571883,False,50,15,0.3,22
log,2,0.04716578710267054,0.20407537576595042,False,0.24820224525190937,0.13640641656755922,False,50,10,0.2,22
ten_percent,2,0.04716578710267054,0.20407537576595042,False,0.24820224525190937,0.13640641656755922,False,50,10,0.2,22
original,20,0.06964748625942205,,True,,,True,50,50,1.0,22
half,10,0.06963556987984221,0.10338401580577852,False,0.05348149801284801,0.0796111732250504,False,50,43,0.86,28
sqrt,4,0.057558829004461166,0.4685819655741921,False,0.5165364087971764,0.3485714285714286,False,50,26,0.52,28
log,2,0.16933655018499894,0.24074263754666472,False,0.16724788656054007,0.1731758446117714,False,50,9,0.18,28
ten_percent,2,0.16933655018499894,0.24074263754666472,False,0.16724788656054007,0.1731758446117714,False,50,9,0.18,28
original,20,0.07000279394467118,,True,,,True,50,50,1.0,28
half,10,0.0698003911757723,0.036874397923489885,False,-0.019741345501343644,0.0189689637121109,False,50,29,0.58,29
sqrt,4,0.06336286821525369,0.10636974848118924,False,-0.033999068688892124,0.083773333272895,False,50,18,0.36,29
log,2,0.08002607104140892,-0.09401874733815754,False,-0.10386009300243278,-0.06475464219055788,False,50,5,0.1,29
ten_percent,2,0.08002607104140892,-0.09401874733815754,False,-0.10386009300243278,-0.06475464219055788,False,50,5,0.1,29
original,20,0.07333071340805501,,True,,,True,50,50,1.0,29
half,10,0.06619942870068557,-0.1026175248879823,False,-0.018271397070758737,-0.08086768740426227,False,50,42,0.84,23
sqrt,4,0.06071916561752386,-0.19187028687551508,False,-0.09369644927331314,-0.14653646986633503,False,50,20,0.4,23
log,2,0.04997959341832475,0.1972173730431771,False,0.20787462090245373,0.14257288945059463,False,50,13,0.26,23
ten_percent,2,0.04997959341832475,0.1972173730431771,False,0.20787462090245373,0.14257288945059463,False,50,13,0.26,23
original,20,0.06563431657475836,,True,,,True,48,48,1.0,23
half,10,0.07829508434282091,0.02249995608370846,False,-0.1007771725644366,0.015006449469682577,False,50,38,0.76,25
sqrt,4,0.07202422972575535,0.02423457117314063,False,-0.04302774088369741,0.017621888557232446,False,50,24,0.48,25
log,2,0.06373002494283042,-0.10948704446354134,False,-0.17459460363399973,-0.08892880730293912,False,50,7,0.14,25
ten_percent,2,0.06373002494283042,-0.10948704446354134,False,-0.17459460363399973,-0.08892880730293912,False,50,7,0.14,25
original,20,0.07920820493641542,0.16334031890202017,False,0.16034354909423124,0.1346938775510204,False,50,49,0.98,25
half,10,0.06470428183342934,0.11012311230530444,False,0.015553291042698224,0.0870571500132014,False,50,46,0.92,31
sqrt,4,0.05451097860936082,0.2444517257782478,False,0.2152585589638282,0.1887843737350205,False,50,23,0.46,31
log,2,0.08050856580662645,0.18603661617454612,False,0.18725431291242955,0.13009955142467017,False,50,7,0.14,31
ten_percent,2,0.08050856580662645,0.18603661617454612,False,0.18725431291242955,0.13009955142467017,False,50,7,0.14,31
original,20,0.06497533781422327,,True,,,True,50,50,1.0,31
half,10,0.08079678211300394,-0.020567446906546178,False,-0.03189657265645248,-0.02050173943882247,False,50,45,0.9,26
sqrt,4,0.06200557347629682,0.17003300642408553,False,0.25918251015652477,0.12877447351890048,False,50,20,0.4,26
log,2,0.10586919661315657,0.06910695836756629,False,0.021903178380735935,0.05054414603501462,False,50,9,0.18,26
ten_percent,2,0.10586919661315657,0.06910695836756629,False,0.021903178380735935,0.05054414603501462,False,50,9,0.18,26
original,20,0.08109290681459701,,True,,,True,50,50,1.0,26
half,10,0.0794590058489631,0.16403487610376852,False,0.08517068220052017,0.122799080873139,False,50,29,0.58,27
sqrt,4,0.06809970682259824,0.24593393996968443,False,0.3273291636297717,0.17278249987534597,False,50,18,0.36,27
log,2,0.49521707091353034,0.09822286546452746,False,0.13070614738115566,0.07446830951640662,False,50,4,0.08,27
ten_percent,2,0.49521707091353034,0.09822286546452746,False,0.13070614738115566,0.07446830951640662,False,50,4,0.08,27
original,20,0.09007692488547442,-0.18313914543559837,False,-0.1491967881900876,-0.1510204081632653,False,50,49,0.98,27
half,10,0.07952176101164843,0.2556942438950876,False,0.11522985665909614,0.19166296949998196,False,50,41,0.82,30
sqrt,4,0.06722360305448291,0.05065304765103821,False,0.10880124956529999,0.034436766040615636,False,50,22,0.44,30
log,2,0.0540192698421831,0.14911255969419823,False,0.16154446411184947,0.10322737732430001,False,50,8,0.16,30
ten_percent,2,0.0540192698421831,0.14911255969419823,False,0.16154446411184947,0.10322737732430001,False,50,8,0.16,30
original,20,0.08039072807220192,,True,,,True,49,49,1.0,30
half,10,0.07895524675989105,-0.07452313864613351,False,-0.023318811545875492,-0.0667105407528021,False,50,44,0.88,36
sqrt,4,0.061427664442281954,0.07284601037885338,False,0.16351584888801804,0.05281385281385281,False,50,17,0.34,36
log,2,0.06085204506588626,0.24298939268002917,False,0.2540926365544498,0.1609886808812993,False,50,6,0.12,36
ten_percent,2,0.06085204506588626,0.24298939268002917,False,0.2540926365544498,0.1609886808812993,False,50,6,0.12,36
original,20,0.0821402848126132,-0.004949706633394551,False,-0.03726364173625034,-0.004081632653061224,False,50,49,0.98,36
half,10,0.0693404794556929,0.22538417547099412,False,0.16002372268812104,0.1750752438129634,False,50,38,0.76,33
sqrt,4,0.056087511786954064,0.27566444361462417,False,0.15155537888067744,0.1963589858192218,False,50,15,0.3,33
log,2,0.1717439662812951,-0.09273399648978925,False,0.006793056941459754,-0.06375158039981228,False,50,3,0.06,33
ten_percent,2,0.1717439662812951,-0.09273399648978925,False,0.006793056941459754,-0.06375158039981228,False,50,3,0.06,33
original,20,0.07093831491816781,,True,,,True,50,50,1.0,33
half,10,0.08405791508247042,0.01784913561252504,False,0.1117889708782346,0.007098628499999332,False,50,41,0.82,32
sqrt,4,0.07234532501134044,0.10721395697342517,False,0.22647921938558466,0.08190476190476191,False,50,26,0.52,32
log,2,0.09828326584328062,0.10790952362120995,False,0.13631854805171656,0.07846348356899974,False,50,3,0.06,32
ten_percent,2,0.09828326584328062,0.10790952362120995,False,0.13631854805171656,0.07846348356899974,False,50,3,0.06,32
original,20,0.08456194885687002,,True,,,True,50,50,1.0,32
half,10,0.06710806982087578,-0.013746236107200296,False,0.18025784977916115,-0.01218974048074227,False,50,40,0.8,35
sqrt,4,0.06085751394707817,-0.002382532377187226,False,-0.1509929042234542,-0.0019047619047619048,False,50,26,0.52,35
log,2,0.06726963420920383,-0.23141967599790741,False,-0.2732190488523084,-0.16147676596885951,False,50,5,0.1,35
ten_percent,2,0.06726963420920383,-0.23141967599790741,False,-0.2732190488523084,-0.16147676596885951,False,50,5,0.1,35
original,20,0.06948680444567876,,True,,,True,49,49,1.0,35
half,10,0.07606742904716612,0.07867279018512954,False,0.05280632005284,0.06523280730534423,False,50,45,0.9,38
sqrt,4,0.06310425095010251,0.11898071800254001,False,0.05565636854289508,0.10032669402034501,False,50,19,0.38,38
log,2,0.05676837455468139,0.158206549298007,False,0.10820876080088239,0.11148556751024401,False,50,8,0.16,38
ten_percent,2,0.05676837455468139,0.158206549298007,False,0.10820876080088239,0.11148556751024401,False,50,8,0.16,38
original,20,0.07623663436435525,,True,,,True,50,50,1.0,38
half,10,0.07231493999057267,0.1980168932715936,False,0.14018450136494187,0.1534421829735617,False,50,36,0.72,37
sqrt,4,0.05574655300293627,0.06931883301013957,False,0.15735719635228565,0.030303030303030304,False,50,17,0.34,37
log,2,0.0534408297951151,0.19314778715553294,False,0.2465901445026378,0.12863517616503095,False,50,11,0.22,37
ten_percent,2,0.0534408297951151,0.19314778715553294,False,0.2465901445026378,0.12863517616503095,False,50,11,0.22,37
