dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.19399964053288835,0.21364481080194525,False,0.17182327879189951,0.16043275276020613,False,200,10,0.05,2
sqrt,4,0.42748607361689495,0.04398116550093526,False,0.0908622114169527,0.03140940280804036,False,200,3,0.015,2
log,2,0.2776388351765916,0.18652356202101186,False,0.1942671050121424,0.13621513373127794,False,200,5,0.025,2
ten_percent,2,0.2776388351765916,0.18652356202101186,False,0.1942671050121424,0.13621513373127794,False,200,5,0.025,2
original,20,0.08065599835528837,-0.030414663281584972,False,-0.0631996058145999,-0.02492310259081088,False,198,196,0.98989898989899,2
half,10,0.2547256105778515,0.24281916973535195,False,0.2159069666500623,0.1747153263900323,False,200,7,0.035,8
sqrt,4,0.319372881929305,0.22094885228105668,False,0.21247948671369574,0.1549982427026757,False,200,4,0.02,8
log,2,0.6454370158912005,0.12043051076276909,False,0.1547094118651733,0.07999999999999999,False,200,1,0.005,8
ten_percent,2,0.6454370158912005,0.12043051076276909,False,0.1547094118651733,0.07999999999999999,False,200,1,0.005,8
original,20,0.07574868850819977,-0.08649546427885522,False,-0.05818825960223535,-0.07043485514794379,False,198,196,0.98989898989899,8
half,10,0.2251498627554238,0.302671038166741,False,0.26712415599354805,0.2044535861241829,False,200,11,0.055,3
sqrt,4,0.25581728786234526,0.2413953979222845,False,0.22533728743158532,0.16155322987364865,False,200,9,0.045,3
log,2,0.33214998241135185,0.2718843166760162,False,0.20552167066854146,0.18444991916952655,False,200,4,0.02,3
ten_percent,2,0.33214998241135185,0.2718843166760162,False,0.20552167066854146,0.18444991916952655,False,200,4,0.02,3
original,20,0.08831358515134909,0.047529621918753914,False,0.06555858645747831,0.03848143184484761,False,199,194,0.9748743718592965,3
half,10,0.18276496557204802,0.32330152794709355,False,0.27395911272611106,0.22489039015901752,False,200,17,0.085,11
sqrt,4,0.22764988039731268,0.2691457485785747,False,0.20372048522076733,0.18318817162456272,False,200,20,0.1,11
