dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.059601565293028805,,True,,,True,20,20,1.0,5
sqrt,10,0.05856139515746426,0.26554516702027114,False,0.24977981764906151,0.22660836558113065,False,20,18,0.9,5
log,4,0.05364971129363281,0.21879495166070806,False,0.21441315514483997,0.16452254913212452,False,20,13,0.65,5
ten_percent,10,0.05856139515746426,0.26554516702027114,False,0.24977981764906151,0.22660836558113065,False,20,18,0.9,5
original,100,0.059601565293028805,,True,,,True,20,20,1.0,5
half,18,0.09862105546975002,,True,,,True,20,20,1.0,15
sqrt,10,0.09793453962285086,0.20865040456338685,False,0.18524306502550372,0.1560797945143416,False,20,16,0.8,15
log,4,0.08575807359061105,0.46981594712397773,False,0.4274812943702886,0.3507632533162006,False,20,9,0.45,15
ten_percent,10,0.09793453962285086,0.20865040456338685,False,0.18524306502550372,0.1560797945143416,False,20,16,0.8,15
original,100,0.09862105546975002,,True,,,True,20,20,1.0,15
half,18,0.07434121728489848,,True,,,True,20,20,1.0,7
sqrt,10,0.07417605923115479,0.2983930050072846,False,0.24542874772210577,0.2496534994869773,False,20,19,0.95,7
log,4,0.07254782157923884,-0.1654925459397646,False,-0.22317421282975058,-0.12651979895704335,False,20,10,0.5,7
ten_percent,10,0.07417605923115479,0.2983930050072846,False,0.24542874772210577,0.2496534994869773,False,20,19,0.95,7
original,100,0.07434121728489848,,True,,,True,20,20,1.0,7
half,18,0.06991796401454808,,True,,,True,20,20,1.0,10
sqrt,10,0.06991796401454808,,True,,,True,20,20,1.0,10
log,4,0.0545886907744334,0.03340285697152523,False,0.15667673175020505,0.011399759467612822,False,20,8,0.4,10
ten_percent,10,0.06991796401454808,,True,,,True,20,20,1.0,10
original,100,0.06991796401454808,,True,,,True,20,20,1.0,10
half,18,0.09322488879758857,,True,,,True,20,20,1.0,13
sqrt,10,0.09322488879758857,,True,,,True,20,20,1.0,13
log,4,0.08621693874823873,0.3318586786560742,False,0.5051668042080559,0.2260306302842337,False,20,14,0.7,13
ten_percent,10,0.09322488879758857,,True,,,True,20,20,1.0,13
original,100,0.09322488879758857,,True,,,True,20,20,1.0,13
half,18,0.0922600550388183,,True,,,True,20,20,1.0,2
sqrt,10,0.08714073587905412,0.14196831650704672,False,0.12703438067901185,0.1040531963428944,False,20,16,0.8,2
log,4,0.08936274904170219,-0.16954301831872798,False,-0.20196602163206917,-0.13112201362143716,False,20,11,0.55,2
ten_percent,10,0.08714073587905412,0.14196831650704672,False,0.12703438067901185,0.1040531963428944,False,20,16,0.8,2
original,100,0.0922600550388183,,True,,,True,20,20,1.0,2
half,18,0.049414602078609086,,True,,,True,20,20,1.0,14
sqrt,10,0.049250000888462056,0.09946433500242821,False,0.052053905135006684,0.08321783316232577,False,20,19,0.95,14
log,4,0.047011982251291176,-0.30635934483281724,False,-0.30679072394907764,-0.20847900962281718,False,20,12,0.6,14
ten_percent,10,0.049250000888462056,0.09946433500242821,False,0.052053905135006684,0.08321783316232577,False,20,19,0.95,14
original,100,0.049414602078609086,,True,,,True,20,20,1.0,14
half,18,0.08486786623327693,,True,,,True,20,20,1.0,8
sqrt,10,0.08420440039014664,0.4358404371745755,False,0.46698383187487486,0.3697294385797395,False,20,18,0.9,8
log,4,0.07263631470737142,0.43670811192396586,False,0.28359393309920156,0.32737903642845395,False,20,9,0.45,8
ten_percent,10,0.08420440039014664,0.4358404371745755,False,0.46698383187487486,0.3697294385797395,False,20,18,0.9,8
original,100,0.08486786623327693,,True,,,True,20,20,1.0,8
half,18,0.10091114001917975,,True,,,True,20,20,1.0,3
sqrt,10,0.09826863191361065,0.0247369036338036,False,0.13327118493083384,0.0173421993904824,False,20,16,0.8,3
log,4,0.0810469930044008,-0.17972824822863578,False,-0.1956556020565086,-0.11692108443873354,False,20,9,0.45,3
ten_percent,10,0.09826863191361065,0.0247369036338036,False,0.13327118493083384,0.0173421993904824,False,20,16,0.8,3
original,100,0.10091114001917975,,True,,,True,20,20,1.0,3
half,18,0.06692257123321661,,True,,,True,20,20,1.0,11
sqrt,10,0.06683917495382416,0.01989286700048564,False,-0.026674123635903733,0.01664356663246515,False,20,19,0.95,11
log,4,0.05852606634843581,0.04412932390943627,False,-0.1114903668003276,0.026059876202852147,False,20,12,0.6,11
ten_percent,10,0.06683917495382416,0.01989286700048564,False,-0.026674123635903733,0.01664356663246515,False,20,19,0.95,11
original,100,0.06692257123321661,,True,,,True,20,20,1.0,11
half,18,0.06674976859233872,,True,,,True,20,20,1.0,9
sqrt,10,0.057971570436319675,0.29135062371276554,False,0.2777857671949735,0.21853668936906193,False,20,11,0.55,9
log,4,0.0587631098331098,0.12452109039157044,False,0.053352027983572754,0.09037128496931669,False,20,10,0.5,9
ten_percent,10,0.057971570436319675,0.29135062371276554,False,0.2777857671949735,0.21853668936906193,False,20,11,0.55,9
original,100,0.06674976859233872,,True,,,True,20,20,1.0,9
