dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.07472935937524208,,True,,,True,20,20,1.0,8
sqrt,7,0.07224963208841612,-0.041121745133476766,False,-0.07973907560693604,-0.019744962591969742,False,20,17,0.85,8
log,3,0.06120245584900289,0.015765635809529454,False,-0.034673573447409324,0.03507632533162006,False,20,9,0.45,8
ten_percent,5,0.06829361977332352,0.12371772851807644,False,-0.07079136517746647,0.10242078963189226,False,20,10,0.5,8
original,50,0.07472935937524208,,True,,,True,20,20,1.0,8
half,18,0.08599001208659814,,True,,,True,20,20,1.0,10
sqrt,7,0.0848576753896653,0.32695733498592583,False,0.2868405417123172,0.260132990857236,False,20,16,0.8,10
log,3,0.07542470346511039,0.4834662641535001,False,0.46701994345138204,0.38388594797495723,False,20,13,0.65,10
ten_percent,5,0.07031923328385334,0.023648453714294183,False,-0.09491782238827744,0.02338421688774671,False,20,9,0.45,10
original,50,0.08599001208659814,,True,,,True,20,20,1.0,10
half,18,0.07295204699346484,,True,,,True,20,20,1.0,15
sqrt,7,0.07223378996319434,0.21882153700534204,False,0.2248706286008191,0.18307923295711667,False,20,19,0.95,15
log,3,0.06053132536626669,-0.07567505188574138,False,0.04939404397416574,-0.04676843377549342,False,20,9,0.45,15
ten_percent,5,0.07275795958983229,0.26843152753136107,False,0.24737545221572596,0.22660836558113065,False,20,18,0.9,15
original,50,0.07295204699346484,,True,,,True,20,20,1.0,15
half,18,0.07989339132864172,,True,,,True,20,20,1.0,16
sqrt,7,0.0749365048160208,0.01588027874956752,False,0.327447154934539,0.013710212427677042,False,20,13,0.65,16
log,3,0.07106381553675775,-0.010755175492958085,False,0.06933601195798013,-0.016741759617923346,False,20,7,0.35,16
ten_percent,5,0.07767682105205112,0.07410796749798176,False,0.11165223617365498,0.09597148699373931,False,20,13,0.65,16
original,50,0.07989339132864172,,True,,,True,20,20,1.0,16
half,18,0.07566831922494302,,True,,,True,20,20,1.0,11
sqrt,7,0.07259714544566465,0.21937230139752653,False,0.17401491019707344,0.18098457933386577,False,20,15,0.75,11
log,3,0.06545307519094357,0.13014462350602846,False,0.014190137021821298,0.10242078963189226,False,20,10,0.5,11
ten_percent,5,0.06890350610529303,-0.18526991874495444,False,-0.11139272010666473,-0.15081233670444746,False,20,13,0.65,11
original,50,0.07566831922494302,,True,,,True,20,20,1.0,11
half,18,0.09366770150020517,,True,,,True,20,20,1.0,5
sqrt,7,0.08974953553183666,-0.05561877295911859,False,-0.07747101636638234,-0.051039174580310834,False,20,14,0.7,5
log,3,0.07709977087475628,-0.07310593048795426,False,0.08911044094831595,-0.042173266319014455,False,20,10,0.5,5
ten_percent,5,0.08440884416107577,-0.31739167581017624,False,-0.26170787152007013,-0.2475688239270954,False,20,12,0.6,5
original,50,0.09366770150020517,,True,,,True,20,20,1.0,5
half,18,0.06684651575011291,,True,,,True,20,20,1.0,9
sqrt,7,0.06254629757705905,0.46048420023084397,False,0.375547939841082,0.3698380534213778,False,20,15,0.75,9
log,3,0.062467228615470625,0.13153933088389658,False,-0.082451598148014,0.11726944291283467,False,20,12,0.6,9
ten_percent,5,0.05918006728532969,0.4270030508217045,False,0.20763352495262635,0.3016246734088949,False,20,13,0.65,9
original,50,0.06684651575011291,,True,,,True,20,20,1.0,9
half,18,0.06827703602783762,,True,,,True,20,20,1.0,4
sqrt,7,0.06622830132848924,0.14997342342797412,False,0.20080927741461072,0.11846977555181847,False,20,17,0.85,4
log,3,0.06257225711074742,0.10090006918098851,False,0.10158911683533156,0.08184475910711349,False,20,9,0.45,4
ten_percent,5,0.06549654697882204,0.04579162678915817,False,-0.15702926245122772,0.06627227564416557,False,20,10,0.5,4
original,50,0.06827703602783762,,True,,,True,20,20,1.0,4
half,18,0.06294805657389399,,True,,,True,20,20,1.0,6
sqrt,7,0.06210753394507729,0.2346358398792498,False,0.004736900471439811,0.19744962591969745,False,20,17,0.85,6
log,3,0.05192630366606884,-0.16900990060362703,False,-0.18357095212786473,-0.13951466348269453,False,20,7,0.35,6
