dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,48,0.08135106569392063,,True,,,True,50,50,1.0,12
sqrt,14,0.08117781294878808,0.1641253870266402,False,0.09490171352888623,0.1285714285714286,False,50,47,0.94,12
log,5,0.06873234891311981,0.09101872196126201,False,0.13646103516371616,0.062317171912531034,False,50,23,0.46,12
ten_percent,20,0.08135106569392063,,True,,,True,50,50,1.0,12
original,200,0.08135106569392063,,True,,,True,50,50,1.0,12
half,48,0.0679529350068881,,True,,,True,50,50,1.0,13
sqrt,14,0.0677320116462778,0.26117242297430404,False,0.44306180894284414,0.21142450717491768,False,50,46,0.92,13
log,5,0.058789820140792565,0.14825191951313585,False,0.23086457723701978,0.10492640572456902,False,50,21,0.42,13
ten_percent,20,0.0679529350068881,,True,,,True,50,50,1.0,13
original,200,0.0679529350068881,,True,,,True,50,50,1.0,13
half,48,0.10095627151279574,,True,,,True,50,50,1.0,4
sqrt,14,0.10090108741983052,-0.12374266583486376,False,-0.10728460499914108,-0.10204081632653061,False,50,49,0.98,4
log,5,0.0903205358462648,-0.1439824202485483,False,-0.1502764233577353,-0.10813862184821561,False,50,23,0.46,4
ten_percent,20,0.10092865552173201,0.12374266583486376,False,0.12402135558426725,0.10204081632653061,False,50,49,0.98,4
original,200,0.10095627151279574,,True,,,True,50,50,1.0,4
half,48,0.07213138259437234,,True,,,True,50,50,1.0,3
sqrt,14,0.07205774144773898,0.3248421753402081,False,0.26716558817271674,0.263990002934741,False,50,48,0.96,3
log,5,0.0616459459816554,0.26335568679618077,False,0.23646393033262408,0.19212090527922407,False,50,22,0.44,3
ten_percent,20,0.07177050010160235,0.016970422743067027,False,-0.11634211667787205,0.014504945216194559,False,50,48,0.96,3
original,200,0.07213138259437234,,True,,,True,50,50,1.0,3
half,48,0.06760949475469903,,True,,,True,50,50,1.0,0
sqrt,14,0.06760949475469903,,True,,,True,50,50,1.0,0
log,5,0.06662935111767715,-0.04115198873024972,False,-0.058383016955070054,-0.025377296066268814,False,50,37,0.74,0
ten_percent,20,0.06760949475469903,,True,,,True,50,50,1.0,0
original,200,0.06760949475469903,,True,,,True,50,50,1.0,0
half,48,0.07563410577500021,,True,,,True,50,50,1.0,5
sqrt,14,0.0755847978519441,-0.10252963740602997,False,-0.1193441794221194,-0.08412868225392844,False,50,48,0.96,5
log,5,0.06654614687585593,0.16217605706479163,False,0.14170846501253062,0.1301329178173442,False,50,23,0.46,5
ten_percent,20,0.07563410577500021,,True,,,True,50,50,1.0,5
original,200,0.07563410577500021,,True,,,True,50,50,1.0,5
half,48,0.08517286287484283,,True,,,True,50,50,1.0,1
sqrt,14,0.08507611092735616,0.12119849120161989,False,0.06790547068432318,0.09999999999999999,False,50,47,0.94,1
log,5,0.07512571107823743,0.1589158454669941,False,0.015299152198907736,0.1198934753451832,False,50,20,0.4,1
ten_percent,20,0.08517286287484283,,True,,,True,50,50,1.0,1
original,200,0.08517286287484283,,True,,,True,50,50,1.0,1
half,48,0.07129533976106388,,True,,,True,50,50,1.0,10
sqrt,14,0.07119005371969284,0.16334031890202017,False,0.12362495855888495,0.1346938775510204,False,50,49,0.98,10
log,5,0.06350347352548014,0.2534644934581519,False,0.29047318543932077,0.18554619584089338,False,50,28,0.56,10
ten_percent,20,0.07129533976106388,,True,,,True,50,50,1.0,10
original,200,0.07129533976106388,,True,,,True,50,50,1.0,10
half,48,0.06940751953924473,,True,,,True,50,50,1.0,6
sqrt,14,0.06931403907386365,-0.04454735970055096,False,-0.03949927747858496,-0.03673469387755102,False,50,49,0.98,6
log,5,0.06257486450026849,-0.11712116982892865,False,-0.1413328098517516,-0.08697986890608066,False,50,27,0.54,6
ten_percent,20,0.06940751953924473,,True,,,True,50,50,1.0,6
original,200,0.06940751953924473,,True,,,True,50,50,1.0,6
half,48,0.0777538333070798,,True,,,True,50,50,1.0,11
sqrt,14,0.0777538333070798,,True,,,True,50,50,1.0,11
log,5,0.06877692231832125,-0.10460103652414444,False,-0.05154682836149786,-0.08541015364104616,False,50,28,0.56,11
ten_percent,20,0.0777538333070798,,True,,,True,50,50,1.0,11
original,200,0.0777538333070798,,True,,,True,50,50,1.0,11
half,48,0.08088541838811683,,True,,,True,50,50,1.0,2
sqrt,14,0.08087470900862549,0.2128373852359657,False,0.2062104904097175,0.17551020408163268,False,50,49,0.98,2
log,5,0.07453119314491366,0.09189164184997407,False,0.038432652174260944,0.06090035718098764,False,50,29,0.58,2
