dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,98,0.19604750363183868,0.09306138293081494,False,0.040450749685512,0.08097496898929424,False,100,10,0.1,7
sqrt,14,0.20600579302608024,0.06980907010926432,False,-0.07842056165594576,0.06561808847840578,False,100,11,0.11,7
log,5,0.3653405778800822,-0.11304269560130399,False,-0.0971234680403527,-0.07519710297199617,False,100,4,0.04,7
ten_percent,20,0.1896212852167517,0.13369540829584772,False,-0.04461318382141474,0.11269613379685658,False,100,6,0.06,7
original,200,0.08547677603358078,-0.08130034402874321,False,-0.07152317563702307,-0.06671587042420463,False,99,98,0.98989898989899,7
half,98,0.28818508751266353,0.27194061930574476,False,0.2963821393531903,0.18792369545992682,False,100,12,0.12,11
sqrt,14,0.29718733920209284,0.29800474075041705,False,0.30363940447834314,0.2082070324224625,False,100,4,0.04,11
log,5,0.27986283401490625,0.3024573195876699,False,0.30349710347088643,0.21265417292080638,False,100,4,0.04,11
ten_percent,20,0.22311581300208974,0.3042366784162603,False,0.29787853233491585,0.2143580468868891,False,100,5,0.05,11
original,200,0.09088326836593946,-0.008704318024567061,False,-0.019371631749425664,-0.007142492739258057,False,100,99,0.99,11
half,98,0.2266118698999484,0.23130853929233633,False,0.20780443278844296,0.16578894838280786,False,100,11,0.11,2
sqrt,14,0.23211478115136938,0.2883941435821657,False,0.261813485846761,0.20667351313056664,False,100,5,0.05,2
log,5,0.19388021332013708,0.297627124623905,False,0.2651319593794053,0.21613619542255227,False,100,10,0.1,2
ten_percent,20,0.18111541451877508,0.35267425302019895,False,0.2804117237383338,0.25385408319151903,False,100,9,0.09,2
original,200,0.07938415953168058,0.08748177652797065,False,0.050344933499204665,0.07179581586177383,False,97,96,0.9896907216494846,2
half,98,0.31817896156875247,0.045287887445750144,False,0.07242509286285169,0.035981409486600315,False,100,4,0.04,1
sqrt,14,0.19941906185541836,0.15542486825873095,False,0.12854344557000472,0.11971694694060221,False,100,5,0.05,1
log,5,0.2631477057878114,0.08717671767176717,False,0.09345950198952176,0.06343434343434344,False,100,1,0.01,1
ten_percent,20,0.2199944967767238,0.16661466085401322,False,0.12264158607144038,0.12832171954589636,False,100,3,0.03,1
original,200,0.09058109370548754,,True,,,True,100,100,1.0,1
half,98,0.18526124318953419,0.23287113581947166,False,0.1640715736236857,0.1666677766640804,False,100,9,0.09,13
sqrt,14,0.18186102216409775,0.31082299873001606,False,0.24765607439201998,0.21654645435187087,False,100,9,0.09,13
log,5,0.17272203362089913,0.31065492140354944,False,0.25384333753322985,0.21573541894231332,False,100,9,0.09,13
ten_percent,20,0.17086641025375077,0.2691610264858282,False,0.22892146796759158,0.1905937343676567,False,100,19,0.19,13
original,200,0.08857169025417504,-0.0915558348776922,False,-0.09130941243972479,-0.0751278714776913,False,100,98,0.98,13
half,98,0.2543144020661018,0.22593615019078064,False,0.17318089259735855,0.16258855631798003,False,100,5,0.05,10
sqrt,14,0.2057965296200346,0.3036502499754602,False,0.20819588774363762,0.21952478486461288,False,100,6,0.06,10
log,5,0.1984176316321327,0.3174267888576769,False,0.19450714122128168,0.2313449109798124,False,100,5,0.05,10
ten_percent,20,0.18856988845875391,0.29538798595351773,False,0.15156984315668415,0.21839634037250555,False,100,8,0.08,10
original,200,0.08429802354977094,-0.13078750995928257,False,-0.10645134701912753,-0.10732553068241615,False,99,98,0.98989898989899,10
half,98,0.3104569276308603,0.02161043025735468,False,-0.001990329799693811,0.014365216336762687,False,100,6,0.06,8
sqrt,14,0.2779702872790782,0.0349991750238524,False,0.009944704335007139,0.03055137558945304,False,100,6,0.06,8
log,5,0.24464355630768148,0.07910828411253798,False,0.03134464328132918,0.05740854097862073,False,100,4,0.04,8
ten_percent,20,0.27791952419988003,0.029042991428247813,False,-0.005366587736960125,0.018385695618614438,False,100,2,0.02,8
original,200,0.07733780097806524,0.04486537524631387,False,0.002654399288797616,0.036818851251840944,False,98,97,0.9897959183673469,8
half,98,0.26387629066526064,0.15409553152676278,False,0.08016292276855508,0.11111188173671269,False,99,9,0.09090909090909091,4
sqrt,14,0.20518655519379855,0.25101986225519546,False,0.10683851777243616,0.1712368933876372,False,99,12,0.12121212121212122,4
log,5,0.23688511750631305,0.20784301968610072,False,0.10433587548212646,0.13826564094850907,False,100,4,0.04,4
ten_percent,20,0.21546585702497884,0.24754234484267185,False,0.11467561800320891,0.16661643070098975,False,100,7,0.07,4
original,200,0.07858633601422285,,True,,,True,100,100,1.0,4
half,98,0.32680661738223277,0.015495176596636986,False,0.020199975919225524,0.018411756149935277,False,100,6,0.06,6
sqrt,14,0.297069589809063,0.07615218448661373,False,0.06829394803232368,0.0578362277449531,False,100,5,0.05,6
log,5,0.2277449235933378,0.12047628934616193,False,0.0884009346944232,0.09575889638100625,False,100,7,0.07,6
ten_percent,20,0.2661789149990064,0.03447986174699849,False,0.040841218913499414,0.0385975565878208,False,100,3,0.03,6
original,200,0.08506873753220141,0.14822757916763674,False,0.14309842238709125,0.12102541795015184,False,100,97,0.97,6
half,98,0.25184196456337277,0.22892535522666138,False,0.17854496633143913,0.1548743250136782,False,100,7,0.07,14
sqrt,14,0.2229841323149551,0.2154817521512702,False,0.1628274071144431,0.14313221932636666,False,100,7,0.07,14
log,5,0.27657285751937943,0.16533051702981247,False,0.1350322869304006,0.11538850686725484,False,100,3,0.03,14
ten_percent,20,0.189724544476287,0.25378409446714584,False,0.16126447441167155,0.16968815733086148,False,100,15,0.15,14
original,200,0.07210966347960092,0.11664997564041607,False,0.08167813045759603,0.09572901325478646,False,98,97,0.9897959183673469,14
half,98,0.27214185661515317,0.001206254004540015,False,-0.013533986675321163,0.0062028605032949475,False,99,8,0.08080808080808081,5
