dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.06920880737213955,0.19062667467861238,False,0.15670511128083342,0.1478708490704826,False,100,66,0.66,9
sqrt,4,0.053207779508882655,0.21470469828913663,False,0.15518724598221428,0.14801827931550782,False,100,29,0.29,9
log,2,0.22515071076550253,-0.06929588059751458,False,-0.06722681124539402,-0.04825660686867535,False,100,9,0.09,9
ten_percent,2,0.22515071076550253,-0.06929588059751458,False,-0.06722681124539402,-0.04825660686867535,False,100,9,0.09,9
original,20,0.07004061859520988,,True,,,True,99,99,1.0,9
half,10,0.06715015658976109,0.0022964716625658455,False,0.023828739489843022,0.0008486545963806121,False,100,88,0.88,14
sqrt,4,0.057268310391682106,0.24544758500560152,False,0.2716361858394712,0.1738108388528892,False,100,35,0.35,14
log,2,0.12544233886914857,0.030600494055687596,False,0.025583113704473266,0.021177617499951257,False,100,13,0.13,14
ten_percent,2,0.12544233886914857,0.030600494055687596,False,0.025583113704473266,0.021177617499951257,False,100,13,0.13,14
original,20,0.06756652979834452,,True,,,True,100,100,1.0,14
half,10,0.07500900247435079,-0.029650089832105615,False,-0.006258462877675674,-0.02409308158946424,False,100,86,0.86,7
sqrt,4,0.16383708925819732,0.03780539293166552,False,0.09535378320292566,0.02473657999150585,False,100,9,0.09,7
log,2,0.0547931183102193,-0.05406981880763295,False,0.0005823502931110796,-0.03945584082167295,False,100,12,0.12,7
ten_percent,2,0.0547931183102193,-0.05406981880763295,False,0.0005823502931110796,-0.03945584082167295,False,100,12,0.12,7
original,20,0.07525307144479568,,True,,,True,100,100,1.0,7
half,10,0.06823952978469619,-0.03060829757331206,False,-0.023536989340229606,-0.02451091832049851,False,100,69,0.69,0
sqrt,4,0.0741318832415439,0.07395641514802961,False,0.09437478006171157,0.03894550308200622,False,100,14,0.14,0
log,2,0.09386045225514504,0.10517218763087287,False,0.10370298132724722,0.05729337775015808,False,100,7,0.07,0
ten_percent,2,0.09386045225514504,0.10517218763087287,False,0.10370298132724722,0.05729337775015808,False,100,7,0.07,0
original,20,0.06924832606009153,,True,,,True,100,100,1.0,0
half,10,0.07526672603688364,-0.15013626306376796,False,-0.07278891779135024,-0.12268330038782514,False,100,97,0.97,11
sqrt,4,0.06025157406640455,-0.01815398718586345,False,0.06289325788390902,-0.014219717863355082,False,100,31,0.31,11
log,2,0.7845924139791698,-0.11081941440018195,False,-0.03964819878175647,-0.07940196019907114,False,100,2,0.02,11
ten_percent,2,0.7845924139791698,-0.11081941440018195,False,-0.03964819878175647,-0.07940196019907114,False,100,2,0.02,11
original,20,0.07341985297102849,,True,,,True,99,99,1.0,11
half,10,0.08519440872390747,0.11849732289337883,False,0.21062155205122007,0.09566892062149211,False,100,78,0.78,1
sqrt,4,0.07092445615575418,0.19754587025070153,False,0.17862407281135867,0.13939716385936413,False,100,30,0.3,1
