dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.08444400410692765,-0.04182178029528551,False,-0.061919117285141434,-0.03405500292904664,False,199,197,0.9899497487437185,11
sqrt,7,0.08051425004773337,0.06267758751684332,False,0.009395463159882381,0.04503680285129134,False,200,80,0.4,11
log,3,0.06218901030856955,-0.003334460575125398,False,-0.0014709488392113939,-0.002631376778756643,False,200,24,0.12,11
ten_percent,5,0.06434287753631222,0.04887279897953501,False,0.11023862908682555,0.03412135370516752,False,200,27,0.135,11
original,50,0.09053477040788274,-0.09899841817760702,False,-0.11572332201598381,-0.08091573729204002,False,198,194,0.9797979797979798,11
half,25,0.0757086585652909,-0.10006843934712438,False,-0.08183645212070595,-0.08190954773869347,False,200,199,0.995,0
sqrt,7,0.0660086577192323,0.1819558853471841,False,0.10632671198008854,0.12095531396727326,False,200,56,0.28,0
log,3,0.07050445646165841,0.0909442779038681,False,0.11348997984261233,0.06513322520382324,False,200,12,0.06,0
ten_percent,5,0.06026628125524107,0.13219279533535738,False,0.14791599536324396,0.09018758638497396,False,200,54,0.27,0
original,50,0.07476108975180594,0.10391774666352876,False,0.11645180240323272,0.08506140484411148,False,199,198,0.9949748743718593,0
half,25,0.07009645561067257,0.02417713657860433,False,0.09627631297109884,0.02002572709904505,False,200,194,0.97,2
sqrt,7,0.0612968209026194,0.04260635752256146,False,0.04446851633923438,0.031209575009926098,False,200,71,0.355,2
log,3,0.05797360385618234,0.0006509787134436331,False,-0.026928738475412765,0.0027502995098717467,False,200,33,0.165,2
ten_percent,5,0.05798853319920745,0.054608471125460974,False,0.008364408114961669,0.0361842215825408,False,200,62,0.31,2
original,50,0.07012342840274163,,True,,,True,199,199,1.0,2
half,25,0.08608659519462425,-0.06768843651867826,False,-0.0929666625063526,-0.05396914208839164,False,200,193,0.965,4
sqrt,7,0.07509793412183281,0.1743373342576926,False,0.036309231552563576,0.12377888452363345,False,200,98,0.49,4
log,3,0.05490208355619571,0.15368002944389472,False,0.14028317006166433,0.10473828010235767,False,200,23,0.115,4
ten_percent,5,0.05888035663044688,0.14304039203157623,False,0.14671604582218284,0.09892640095651573,False,200,30,0.15,4
