dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,50,0.08850555913220275,-0.07428393350308007,False,-0.07025564769282656,-0.06080402010050251,False,200,199,0.995,1
sqrt,10,0.08270318681718457,0.05788756392184617,False,0.15553824415332249,0.04561054020357518,False,200,150,0.75,1
log,4,0.06276618013066872,-0.06146399323709219,False,-0.07746709310757398,-0.040102422454757286,False,200,25,0.125,1
ten_percent,10,0.08270318681718457,0.05788756392184617,False,0.15553824415332249,0.04561054020357518,False,200,150,0.75,1
original,100,0.08813163003795586,-0.039164833338950766,False,-0.00036467776997969507,-0.03194395033726946,False,199,196,0.9849246231155779,1
half,50,0.0707567714725986,,True,,,True,199,199,1.0,13
sqrt,10,0.0693003942167842,0.03718784966290248,False,0.04955598196743555,0.02565923269831291,False,200,122,0.61,13
log,4,0.056936796579224236,0.1576511247908122,False,0.092868234911727,0.10616621765369691,False,200,39,0.195,13
ten_percent,10,0.0693003942167842,0.03718784966290248,False,0.04955598196743555,0.02565923269831291,False,200,122,0.61,13
original,100,0.12076431338471874,0.036542767353464886,False,0.031231795507347237,0.03042667040751822,False,199,186,0.9346733668341709,13
half,50,0.08241070154441904,-0.0030231550350438203,False,0.04873933176330088,-0.0025093160052981735,False,199,197,0.9899497487437185,11
sqrt,10,0.07814419798596103,0.10330475392098035,False,0.13927580612074303,0.08189931380646583,False,200,161,0.805,11
log,4,0.05358916731359164,0.01402817834615582,False,-0.015945325662786846,0.010987953472440491,False,200,16,0.08,11
ten_percent,10,0.07814419798596103,0.10330475392098035,False,0.13927580612074303,0.08189931380646583,False,200,161,0.805,11
original,100,0.07817770733559665,0.1140562143348888,False,0.14606616562634636,0.09336138080834305,False,198,197,0.9949494949494949,11
half,50,0.06933921604892825,,True,,,True,199,199,1.0,3
sqrt,10,0.06643112121531514,0.11722565189727398,False,0.12241329366298466,0.09144319327956875,False,200,146,0.73,3
log,4,0.0527281817604042,0.032663396813373886,False,0.060645914211904205,0.023084782983384153,False,200,16,0.08,3
ten_percent,10,0.06643112121531514,0.11722565189727398,False,0.12241329366298466,0.09144319327956875,False,200,146,0.73,3
original,100,0.07038208171585579,-0.09458156466779953,False,-0.07267870354107149,-0.07707184873415819,False,199,197,0.9899497487437185,3
half,50,0.07734835761699209,-0.001871334565834849,False,0.06471475222135885,-0.0017788863914088176,False,200,198,0.99,0
sqrt,10,0.0742450057028947,0.14244281737951558,False,0.09599671537380833,0.1079749346710532,False,200,111,0.555,0
log,4,0.05676110880074967,0.10944861510091569,False,0.10652904447630869,0.0721189649255258,False,200,33,0.165,0
ten_percent,10,0.0742450057028947,0.14244281737951558,False,0.09599671537380833,0.1079749346710532,False,200,111,0.555,0
original,100,0.07770556465941583,-0.03140089055595223,False,-0.035957080162153036,-0.025703710298973385,False,197,196,0.9949238578680203,0
half,50,0.07986214935623662,0.016575753756885633,False,-0.00019629282671912045,0.013567839195979899,False,200,199,0.995,5
sqrt,10,0.07695960928849913,0.19118482655262833,False,0.12115140971139429,0.13568115261541744,False,200,110,0.55,5
log,4,0.05947169199263711,0.17087421232412608,False,0.17258718916322147,0.11688650277972473,False,200,40,0.2,5
ten_percent,10,0.07695960928849913,0.19118482655262833,False,0.12115140971139429,0.13568115261541744,False,200,110,0.55,5
original,100,0.08104254352633487,0.010371087395181307,False,0.004263702820071244,0.00849884917230105,False,199,196,0.9849246231155779,5
half,50,0.07760678426045137,0.009261674390574539,False,-0.01080107487170086,0.007169748873978228,False,198,194,0.9797979797979798,12
sqrt,10,0.07193243226738714,0.10334419529484483,False,0.18675251857647376,0.08195279765682802,False,200,158,0.79,12
log,4,0.05876703187599979,-0.09509435862497198,False,-0.136487094264152,-0.06475013742298405,False,200,13,0.065,12
ten_percent,10,0.07193243226738714,0.10334419529484483,False,0.18675251857647376,0.08195279765682802,False,200,158,0.79,12
original,100,0.08060058940934675,0.039832126771064645,False,0.00163042692571744,0.032019543549216704,False,199,195,0.9798994974874372,12
half,50,0.07954655360806638,0.010436585698779841,False,-0.003923766420313712,0.008542713567839196,False,200,199,0.995,4
sqrt,10,0.07312465517679001,0.2315708214624428,False,0.09362908989676562,0.17576189680161286,False,200,146,0.73,4
log,4,0.05137215323384679,0.23448608696540502,False,0.30772734077271235,0.1634765316355939,False,200,34,0.17,4
ten_percent,10,0.07312465517679001,0.2315708214624428,False,0.09362908989676562,0.17576189680161286,False,200,146,0.73,4
original,100,0.09719153990421507,-0.005354582319591435,False,-0.03772878774385152,-0.003341091592493957,False,197,190,0.9644670050761421,4
half,50,0.0824679858187179,-0.011880239714685135,False,-0.05976692027189071,-0.009752518405099908,False,198,196,0.98989898989899,6
sqrt,10,0.07291005627574258,0.15274684798219978,False,0.09319647081196328,0.11332051395987959,False,200,112,0.56,6
log,4,0.07615166943314448,-0.009582587146430252,False,-0.007629208384655428,-0.006683737075792881,False,200,25,0.125,6
ten_percent,10,0.07291005627574258,0.15274684798219978,False,0.09319647081196328,0.11332051395987959,False,200,112,0.56,6
original,100,0.09067122996129597,-0.024972011446985697,False,0.006413881952207316,-0.020114591319355106,False,197,192,0.9746192893401016,6
half,50,0.08266929608213613,-0.10957384768795234,False,-0.09597355619925249,-0.08935614582937783,False,196,193,0.9846938775510204,8
sqrt,10,0.07638496965969468,-0.016491203432636947,False,0.006173014802049926,-0.009813747329974368,False,200,133,0.665,8
log,4,0.061136534000278644,0.04802722208369717,False,0.0652334596081499,0.03312327118040218,False,200,47,0.235,8
ten_percent,10,0.07638496965969468,-0.016491203432636947,False,0.006173014802049926,-0.009813747329974368,False,200,133,0.665,8
original,100,0.08741394386145826,0.034005778965027614,False,-0.007431820816203884,0.027654748956817236,False,200,197,0.985,8
half,50,0.07305686254795574,,True,,,True,200,200,1.0,2
sqrt,10,0.07196821633618378,0.13787469301545757,False,0.06914693426398115,0.10480558406179255,False,200,150,0.75,2
log,4,0.053331316679133635,0.07140408070075108,False,0.05316157397486651,0.0495533247586908,False,200,29,0.145,2
ten_percent,10,0.07196821633618378,0.13787469301545757,False,0.06914693426398115,0.10480558406179255,False,200,150,0.75,2
original,100,0.08548114148148028,0.003636897919214507,False,0.04420455778932529,0.0034155117022054093,False,199,194,0.9748743718592965,2
half,50,0.08073227231432155,0.037448925154445326,False,0.020321468656613353,0.03065326633165829,False,200,199,0.995,10
sqrt,10,0.07020355954627283,0.004093894511965768,False,-0.022871324208868095,0.0017502924010399904,False,200,111,0.555,10
log,4,0.05733462864809974,0.047520264136214525,False,0.005303170289940082,0.03440127387646352,False,200,32,0.16,10
ten_percent,10,0.07020355954627283,0.004093894511965768,False,-0.022871324208868095,0.0017502924010399904,False,200,111,0.555,10
original,100,0.08709574558212616,0.02538147780554529,False,0.06460417035587918,0.020597098931984654,False,199,195,0.9798994974874372,10
half,50,0.07965495709502968,-0.0019540214419996446,False,-0.04289613101375831,-0.0017788863914088176,False,200,198,0.99,7
