dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.1703385228139295,-0.0862259796241698,False,-0.13865440034558385,-0.09119807574090258,False,20,8,0.4,12
sqrt,7,0.25420563262720985,0.19578335455919943,False,-0.05297019236786991,0.11140936297356784,False,20,3,0.15,12
log,3,0.3557325371520152,0.013533834586466165,False,-0.12402355012368019,0.042105263157894736,False,20,1,0.05,12
ten_percent,5,0.2718136238627011,0.07121416480677854,False,-0.1697523718373461,0.064888568452305,False,20,5,0.25,12
original,50,0.06191860403031355,,True,,,True,20,20,1.0,12
half,18,0.19993796259769764,0.5432863895081145,False,0.42457994311279046,0.37840186300388645,False,20,6,0.3,4
sqrt,7,0.3504551187744136,0.13554232238713804,False,0.19080980026614522,0.10079894745227566,False,20,3,0.15,4
log,3,0.2752226317338168,0.43637615881600467,False,0.34410933995640347,0.30281331944409007,False,20,5,0.25,4
ten_percent,5,0.3521278758254059,0.16923656706406526,False,0.19409582538056896,0.1213724541484165,False,20,2,0.1,4
original,50,0.06827703602783762,,True,,,True,20,20,1.0,4
half,18,0.2737320823456197,0.010542180630110738,False,-0.1472326773894898,0.005305207760646087,False,20,3,0.15,6
sqrt,7,0.370230645761383,-0.03458646616541353,False,-0.10303956109308206,-0.021052631578947368,False,20,1,0.05,6
log,3,0.37147903283453665,-0.0218127130882573,False,-0.12969804001798757,-0.01583118967153259,False,20,2,0.1,6
ten_percent,5,0.3856785688117039,0.021084361260221476,False,-0.06009981638857181,0.005305207760646087,False,20,3,0.15,6
original,50,0.06294805657389399,,True,,,True,20,20,1.0,6
half,18,0.275215901643022,-0.0022859174874114213,False,-0.03127505426715043,-0.005484084971070818,False,20,6,0.3,5
sqrt,7,0.24764882245069467,-0.03320778360912659,False,0.06518112565830325,-0.010696563746013953,False,20,4,0.2,5
