dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.19930654174380663,0.32415947140346985,False,0.2833907820740672,0.23322492540852624,False,50,4,0.08,7
sqrt,7,0.1762199258800619,0.23918636148430442,False,0.24706099618131955,0.1742478129234184,False,50,8,0.16,7
log,3,0.1973118210829417,0.2102305536128297,False,0.19536086376642156,0.1497549521044221,False,50,4,0.08,7
ten_percent,5,0.1690279939768745,0.3524041262343684,False,0.28335521834537586,0.27169445711755763,False,50,8,0.16,7
original,50,0.1105517176703276,0.05119410860825221,False,-0.006119963269273347,0.043514835648583675,False,50,48,0.96,7
half,25,0.16855653829121947,0.25807957483748273,False,0.2526683828640488,0.181461770191282,False,50,9,0.18,15
sqrt,7,0.13142413961451396,0.32377960721123705,False,0.2597147386991642,0.22051744485433875,False,50,11,0.22,15
log,3,0.13432743217954027,0.2551900852890131,False,0.21450606488441115,0.1781473999594778,False,50,9,0.18,15
ten_percent,5,0.1368798525724302,0.2919829188728602,False,0.2394713774106754,0.19637643623440107,False,50,9,0.18,15
original,50,0.06791792058142854,,True,,,True,50,50,1.0,15
half,25,0.18333110093030425,0.32497599400146343,False,0.1502062275130031,0.22176826240600214,False,50,4,0.08,8
sqrt,7,0.17636548718011397,0.2683168076211635,False,0.12121753601225138,0.19384351371421754,False,50,6,0.12,8
log,3,0.45180086583757484,0.09589435774309724,False,0.08903427732602322,0.036734693877551024,False,50,1,0.02,8
ten_percent,5,0.24897759809267292,0.23325169391553927,False,0.11142340189137744,0.14058040806112454,False,50,3,0.06,8
original,50,0.09549086890251689,-0.20293797196917657,False,-0.17380091706306783,-0.1673469387755102,False,50,49,0.98,8
half,25,0.25542007869034655,0.1548176427251218,False,0.15947345368146237,0.12249898938750632,False,50,2,0.04,4
sqrt,7,0.290593068745678,0.09321423469015065,False,0.14318101146197507,0.07519417175362475,False,50,3,0.06,4
log,3,0.21075764152270915,0.16974654567758368,False,0.13874453279356094,0.12484836476508925,False,50,6,0.12,4
ten_percent,5,0.37928447862501863,0.10060990297571645,False,0.17761676976364524,0.08009813947668723,False,50,3,0.06,4
original,50,0.06887085869701762,,True,,,True,50,50,1.0,4
half,25,0.299144633717832,0.04576230492196878,False,0.05651451398186102,0.05142857142857143,False,50,1,0.02,12
sqrt,7,0.35225898744244444,-0.034574659665659965,False,0.012157042725598428,-0.013066558868000674,False,50,2,0.04,12
log,3,0.2588661396110967,0.14404419243428748,False,0.12594473840791817,0.102291633951108,False,50,4,0.08,12
ten_percent,5,0.20299840438619468,0.06603275254969457,False,0.05883663313214584,0.058847612676749796,False,50,3,0.06,12
original,50,0.0729130329956276,,True,,,True,50,50,1.0,12
half,25,0.15570169394322433,0.4365424879137524,False,0.18273000636831302,0.3040090952841953,False,49,9,0.1836734693877551,11
sqrt,7,0.1866283817855056,0.37457660730778225,False,0.16222132223141808,0.25791043773840805,False,50,6,0.12,11
log,3,0.19440269796611884,0.3463368163315165,False,0.17742797304273583,0.236887235355332,False,50,5,0.1,11
ten_percent,5,0.13332284217765963,0.44358480384923554,False,0.19253368824078496,0.30906502411574516,False,50,9,0.18,11
original,50,0.07062165998916564,,True,,,True,50,50,1.0,11
half,25,0.17373153068978453,0.33853467720966307,False,0.319913475388531,0.22956201812589236,False,50,10,0.2,10
sqrt,7,0.12604391707199966,0.3276723238197773,False,0.25209391187554875,0.2237969540390824,False,50,8,0.16,10
log,3,0.1757948511233218,0.33593668014901185,False,0.328046724878216,0.21684189669726028,False,50,6,0.12,10
ten_percent,5,0.18837069639823847,0.31129570076086505,False,0.30640070682100445,0.2229080465860114,False,50,10,0.2,10
original,50,0.06786411162405223,,True,,,True,50,50,1.0,10
half,25,0.24168384122994,0.29781411075587044,False,0.3024886955156565,0.20410007475251785,False,50,5,0.1,0
sqrt,7,0.29355171812359226,0.25235351352108915,False,0.24808557277286306,0.1726682781094703,False,50,4,0.08,0
log,3,0.31457010406190516,0.24504201680672266,False,0.2676844091421033,0.16408163265306122,False,50,1,0.02,0
ten_percent,5,0.18401067723301093,0.43729439952444327,False,0.38531009699714747,0.3055499453461395,False,50,6,0.12,0
original,50,0.08677010631322565,0.10394383930128556,False,0.0719760784558271,0.08571428571428572,False,50,49,0.98,0
half,25,0.2405040197416464,0.31642895021813633,False,0.303452343584129,0.21740923572243676,False,50,3,0.06,14
sqrt,7,0.17250920351619872,0.3666414440585998,False,0.3734318745016923,0.2611683829403268,False,50,10,0.2,14
log,3,0.26304413103588176,0.29029779895726354,False,0.31975623039595685,0.2021282686873894,False,50,4,0.08,14
ten_percent,5,0.2120834821492222,0.37837222348862837,False,0.31303749904835976,0.28160788979264056,False,50,7,0.14,14
original,50,0.07850287903281654,,True,,,True,49,49,1.0,14
half,25,0.28257531470255387,-0.06585014599113308,False,-0.1126638709005512,-0.04664498508170525,False,50,4,0.08,9
sqrt,7,0.19240281307584087,0.024255524234516563,False,-0.0601766931721574,0.004091665358044319,False,50,4,0.08,9
log,3,0.32629479700915026,-0.05240153849476746,False,-0.07795867470461451,-0.038461654365616604,False,50,4,0.08,9
ten_percent,5,0.18857548644232758,0.03603914398546449,False,-0.07931209861503657,0.02064547546486,False,50,8,0.16,9
original,50,0.0722969401384748,,True,,,True,50,50,1.0,9
half,25,0.32917427742514255,0.4040243979640584,False,0.3484666710001741,0.27789150430687404,False,50,3,0.06,6
sqrt,7,0.1679284989453617,0.4854458259937934,False,0.3831955662566013,0.334456702530732,False,50,8,0.16,6
log,3,0.22065442683889885,0.42557365233044125,False,0.36346871679620407,0.2974647283044303,False,50,9,0.18,6
ten_percent,5,0.32359100060292206,0.4522574578063524,False,0.3929213011453696,0.3117849002829772,False,50,4,0.08,6
original,50,0.1029833469664365,0.014849119900183652,False,-0.014296508688211473,0.012244897959183673,False,50,49,0.98,6
half,25,0.20723004303282505,0.05241397892155187,False,0.09262791314302021,0.044480136083772104,False,50,12,0.24,3
sqrt,7,0.24644422087676288,0.023597268948950614,False,0.0957183705202827,0.02299838298304276,False,50,6,0.12,3
log,3,0.391337322328103,-0.12406340415397284,False,-0.0008207341509623022,-0.09410830323501936,False,50,4,0.08,3
ten_percent,5,0.3856303273057082,-0.1382176474664687,False,-0.015609657026889602,-0.10901730900435692,False,50,5,0.1,3
original,50,0.09250241529372168,-0.20293797196917657,False,-0.1523411639089511,-0.1673469387755102,False,50,49,0.98,3
half,25,0.2039022806831022,0.17317761579593238,False,0.10593310276702586,0.12565455917131152,False,49,8,0.16326530612244897,2
sqrt,7,0.22041824520401454,0.21378093021017186,False,0.17009369789623094,0.161034708625908,False,50,8,0.16,2
log,3,0.5156141490924311,-0.06958651523236904,False,-0.0880835107975351,-0.06211692449212479,False,50,3,0.06,2
ten_percent,5,0.2084431365250187,0.19498022191465092,False,0.19344818311559675,0.1317463811895394,False,50,7,0.14,2
original,50,0.07618374946260004,,True,,,True,50,50,1.0,2
half,25,0.16251453914248257,0.2882056542062376,False,0.15507910205834619,0.19262456854153293,False,50,5,0.1,5
sqrt,7,0.15910617665151197,0.21922873846498597,False,0.1404691764953709,0.14384971987649953,False,50,3,0.06,5
log,3,0.09937137744491828,0.43337527411130944,False,0.286175164522717,0.2974647283044303,False,50,9,0.18,5
ten_percent,5,0.12410625691386817,0.3858733121738776,False,0.1881510739638176,0.2585522730844711,False,50,7,0.14,5
original,50,0.11592031370465733,0.19095702614550147,False,0.16802123065007857,0.15746719775034718,False,50,48,0.96,5
half,25,0.29252263039978993,0.26050420168067223,False,0.18699388805476538,0.1853061224489796,False,50,1,0.02,1
sqrt,7,0.3509020022837479,0.2188287834672395,False,0.1435947923493235,0.15026542698200776,False,50,2,0.04,1
log,3,0.31660415663013664,0.2770774809317472,False,0.19482407896676585,0.18129850429350935,False,50,2,0.04,1
ten_percent,5,0.2985582111112077,0.22804995854551413,False,0.16207336131638553,0.15630161667729303,False,50,4,0.08,1
original,50,0.07888474911299692,,True,,,True,50,50,1.0,1
half,25,0.21273974660860162,0.13937287159258,False,0.15103222954511603,0.08706530700723329,False,50,6,0.12,13
sqrt,7,0.1952795431034917,0.043612098958468154,False,0.06018540089286323,0.03293659529738485,False,50,7,0.14,13
log,3,0.4216850784830972,-0.003985977062999745,False,-0.0200313727628679,-0.016346559076874944,False,50,3,0.06,13
ten_percent,5,0.24054421426147812,0.04365365241285263,False,0.06473031643912176,0.02125052679993743,False,50,3,0.06,13
original,50,0.07684883593355861,,True,,,True,50,50,1.0,13
half,25,0.19232395619697196,0.36816912663417717,False,0.25642430663236143,0.2842072473772134,False,50,9,0.18,16
sqrt,7,0.22565098422861513,0.34681723915899804,False,0.27478790327389163,0.25655953171702045,False,50,5,0.1,16
log,3,0.1963835514068522,0.38371759031594616,False,0.29343257918429294,0.2905082404211467,False,50,4,0.08,16
ten_percent,5,0.12494637603747077,0.3085028574445706,False,0.25877959220809416,0.23586865159255233,False,50,14,0.28,16
original,50,0.08111519285721698,,True,,,True,50,50,1.0,16
half,25,0.2155041075052229,0.1241415747934258,False,0.2073143138206427,0.08500210719974972,False,50,3,0.06,20
sqrt,7,0.309205885704218,0.05355427628017023,False,0.10819574241603643,0.035188322079181156,False,50,4,0.08,20
log,3,0.18833990407298645,0.19393290686145603,False,0.23476700771435,0.14003214229372904,False,50,9,0.18,20
ten_percent,5,0.24055879256085297,0.10262690341723439,False,0.15544714175516589,0.07519417175362475,False,50,3,0.06,20
original,50,0.07651639602256863,,True,,,True,50,50,1.0,20
half,25,0.2770458408198157,0.16099904402791984,False,0.12070886896895151,0.12029496152650301,False,50,4,0.08,23
sqrt,7,0.36177852801511307,0.11098304810352301,False,0.15196881077558744,0.0899060749228122,False,50,3,0.06,23
log,3,0.21743740636051995,0.15551286925580785,False,0.11625176645442449,0.11393538309477905,False,50,5,0.1,23
ten_percent,5,0.22825806560972345,0.1715891089891336,False,0.0882753173670668,0.11769522535349959,False,50,3,0.06,23
original,50,0.07365977127200743,,True,,,True,50,50,1.0,23
half,25,0.13241434918109074,0.49208588189498714,False,0.5192886797687754,0.34271489271667605,False,50,8,0.16,17
sqrt,7,0.15553707543019318,0.5040972586670938,False,0.47402249515717465,0.35976041952045457,False,50,6,0.12,17
log,3,0.11308028624265956,0.4667504350494492,False,0.4862367894158488,0.3211318041495023,False,50,7,0.14,17
ten_percent,5,0.1608610993282058,0.40855029310104357,False,0.4407705698681025,0.294023259805785,False,50,11,0.22,17
original,50,0.0668392849448194,,True,,,True,50,50,1.0,17
half,25,0.3294931182724748,0.08472909400610985,False,0.0019060104474414316,0.059138699099252796,False,50,6,0.12,28
sqrt,7,0.3188308780170423,0.07592448098723398,False,0.021320009853596614,0.0576390417704235,False,50,7,0.14,28
log,3,0.272664187311226,0.13384238644072635,False,0.07046324233521661,0.10134866627662466,False,50,3,0.06,28
ten_percent,5,0.2246656531442534,0.22499203908682505,False,0.10328167688023485,0.16598962273747442,False,50,8,0.16,28
original,50,0.059986637943802684,,True,,,True,49,49,1.0,28
half,25,0.21384073352192423,0.4346322842137338,False,0.3510906092198253,0.3135974128320162,False,50,2,0.04,24
sqrt,7,0.3004699405467635,0.2397656607092225,False,0.24364931344652763,0.16333198585000844,False,50,2,0.04,24
log,3,0.1639751489803051,0.41849632501925926,False,0.3877740227933145,0.28770733428969386,False,50,5,0.1,24
ten_percent,5,0.12458186530428358,0.5025303906380169,False,0.4109773668324633,0.3869527245631448,False,50,9,0.18,24
original,50,0.0896689891576488,,True,,,True,50,50,1.0,24
half,25,0.35766698292843935,0.10638809144446373,False,0.14698722089147684,0.059738314227447076,False,50,4,0.08,25
sqrt,7,0.34391989927708577,0.11011861934287247,False,0.15133275508335417,0.06702089221518728,False,50,3,0.06,25
log,3,0.16056866084435487,0.18045888356243772,False,0.19787288105152043,0.13668687048414715,False,50,7,0.14,25
ten_percent,5,0.3352929716256552,0.1292227905004041,False,0.16762197607435217,0.07676603334950395,False,50,2,0.04,25
original,50,0.07409770886482558,,True,,,True,50,50,1.0,25
half,25,0.22382200711953587,-0.11621428196780943,False,-0.15465859836048576,-0.0729514323412614,False,50,5,0.1,19
sqrt,7,0.1785522393148918,-0.0919048868972383,False,-0.221116578608832,-0.06147592613027646,False,50,5,0.1,19
log,3,0.22780391440516276,-0.07502105260552325,False,-0.09862927708926408,-0.04763950760773143,False,50,6,0.12,19
ten_percent,5,0.2349858137548763,-0.09500480581361141,False,-0.11259111617878424,-0.06628497880031799,False,50,4,0.08,19
original,50,0.09797870141253591,-0.19303855870238745,False,-0.16149882598650628,-0.15918367346938775,False,50,49,0.98,19
half,25,0.16778128667845002,0.386566732682539,False,0.3046449693813608,0.2799526473035016,False,50,8,0.16,21
sqrt,7,0.23503554567820298,0.31700523605857,False,0.29745900779207696,0.22394785935318676,False,50,3,0.06,21
log,3,0.14904308496459767,0.20067504914121861,False,0.2170235257727188,0.14666088275733752,False,50,9,0.18,21
ten_percent,5,0.1727113814501081,0.15512710308296063,False,0.16839732952341702,0.1081822914358664,False,50,8,0.16,21
