dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.21325830891615147,0.23761331753049353,False,0.1972844235041578,0.16301811732107133,False,100,9,0.09,13
sqrt,4,0.2396219802723351,0.23365462273711152,False,0.2027366959072062,0.16175762834761945,False,100,7,0.07,13
log,2,0.5148244342626381,0.06700290129913535,False,0.040036485305998126,0.04667138118571357,False,100,2,0.02,13
ten_percent,2,0.5148244342626381,0.06700290129913535,False,0.040036485305998126,0.04667138118571357,False,100,2,0.02,13
original,20,0.09273966412307699,0.07910885595028941,False,0.020723401028980706,0.06465741506925919,False,100,97,0.97,13
half,10,0.27281096737352284,0.010652183756402265,False,-0.06537606941140413,0.004653520785148476,False,100,6,0.06,10
sqrt,4,0.3477549465372304,-0.014941673468504392,False,-0.06222715727597458,-0.007881176476047178,False,100,3,0.03,10
log,2,0.23764365604178828,-0.022335573732007584,False,-0.08600498946195609,-0.004448940595765623,False,100,5,0.05,10
ten_percent,2,0.23764365604178828,-0.022335573732007584,False,-0.08600498946195609,-0.004448940595765623,False,100,5,0.05,10
original,20,0.08369759897794596,-0.13818535575864674,False,-0.11018988708555198,-0.11340206185567012,False,98,97,0.9897959183673469,10
half,10,0.3268267147332405,0.31847095592628766,False,0.30824158467126334,0.21557139432209788,False,100,5,0.05,6
sqrt,4,0.32759658214962145,0.2926150097778253,False,0.2695791083377016,0.19692137554923506,False,100,8,0.08,6
log,2,0.47953909960470725,0.27087390001292033,False,0.2603396310205819,0.18042226579585374,False,100,2,0.02,6
ten_percent,2,0.47953909960470725,0.27087390001292033,False,0.2603396310205819,0.18042226579585374,False,100,2,0.02,6
original,20,0.0904416092146684,0.08182058943093039,False,0.06101197169794624,0.06713943174902573,False,100,99,0.99,6
half,10,0.171085622139667,0.23784954963892826,False,0.21749482556566196,0.16174699319415414,False,100,10,0.1,11
sqrt,4,0.2717840237030034,0.06577826226503507,False,0.10190523947055946,0.04541798293522386,False,100,9,0.09,11
log,2,0.8065540322353435,-0.04182418241824182,False,-0.02108347134665485,-0.028282828282828288,False,100,1,0.01,11
ten_percent,2,0.8065540322353435,-0.04182418241824182,False,-0.02108347134665485,-0.028282828282828288,False,100,1,0.01,11
original,20,0.07528501446469217,,True,,,True,100,100,1.0,11
half,10,0.3613662514703659,0.03715961792655934,False,0.057062637727006184,0.022458295963107864,False,100,6,0.06,4
sqrt,4,0.27233290686358436,0.077392057761508,False,0.09732748130369417,0.050127361755277385,False,100,10,0.1,4
log,2,0.3152874249303253,0.04901584262306233,False,0.08559080576551505,0.03073813502528976,False,100,5,0.05,4
ten_percent,2,0.3152874249303253,0.04901584262306233,False,0.08559080576551505,0.03073813502528976,False,100,5,0.05,4
original,20,0.06878658294982545,,True,,,True,100,100,1.0,4
half,10,0.2432880918273239,0.06783281829690734,False,0.06452149628033033,0.051344258480879104,False,100,4,0.04,12
sqrt,4,0.16341779220071437,0.13568976710796063,False,0.07339908141081788,0.09238286754161645,False,100,8,0.08,12
log,2,0.23893877174533745,0.04560510777535478,False,0.04628695742754436,0.03132262445608494,False,100,3,0.03,12
ten_percent,2,0.23893877174533745,0.04560510777535478,False,0.04628695742754436,0.03132262445608494,False,100,3,0.03,12
original,20,0.07872931030828023,,True,,,True,99,99,1.0,12
half,10,0.20032443361461172,0.21734251146752612,False,0.31815517884849304,0.14424693352989235,False,100,8,0.08,7
sqrt,4,0.3968997716055185,0.16832693261225493,False,0.2135964400094937,0.11405465890962778,False,100,5,0.05,7
log,2,0.2029518868684702,0.1647863661152414,False,0.29453731706454245,0.11041461660400136,False,100,5,0.05,7
ten_percent,2,0.2029518868684702,0.1647863661152414,False,0.29453731706454245,0.11041461660400136,False,100,5,0.05,7
original,20,0.07551738226833077,,True,,,True,99,99,1.0,7
half,10,0.2328864544767828,0.13850512132762405,False,0.04739236197969038,0.10021279853826237,False,100,7,0.07,9
sqrt,4,0.21624151519498763,0.1406355081659055,False,0.02652892695856299,0.09805549975908413,False,100,8,0.08,9
log,2,0.48468175637391886,-0.04369689405528072,False,-0.02252967332728596,-0.02404769232434908,False,100,3,0.03,9
ten_percent,2,0.48468175637391886,-0.04369689405528072,False,-0.02252967332728596,-0.02404769232434908,False,100,3,0.03,9
original,20,0.07224110174119545,0.16538204246677418,False,0.2651015696015284,0.13570736204590308,False,100,99,0.99,9
half,10,0.22247284135417267,0.37343382461524716,False,0.3650367297891181,0.2722037105957833,False,100,3,0.03,1
