dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.22727508333614024,0.11088700046345072,False,0.17335054275643075,0.06702089221518728,False,50,3,0.06,7
sqrt,4,0.2116592118064364,-0.07848134458989076,False,-0.06436732490627664,-0.06242418238254462,False,50,6,0.12,7
log,2,0.22928684810973027,0.10338535414165667,False,0.1839121778532755,0.06612244897959184,False,50,1,0.02,7
ten_percent,2,0.22928684810973027,0.10338535414165667,False,0.1839121778532755,0.06612244897959184,False,50,1,0.02,7
original,20,0.083920730163887,,True,,,True,50,50,1.0,7
half,10,0.1821886835174,0.22373439520810623,False,0.04524641279908922,0.15974248719231654,False,50,7,0.14,15
sqrt,4,0.2967824960323659,0.04677183126993446,False,-0.00810623389603716,0.024499797877501263,False,50,2,0.04,15
log,2,0.21740607751184574,0.13826057788405138,False,0.01678975693617365,0.09644469855356218,False,50,3,0.06,15
ten_percent,2,0.21740607751184574,0.13826057788405138,False,0.01678975693617365,0.09644469855356218,False,50,3,0.06,15
original,20,0.07741291410387884,,True,,,True,50,50,1.0,15
half,10,0.13985629002642247,0.5290628806178928,False,0.4368573379608866,0.375949392003273,False,50,10,0.2,3
sqrt,4,0.3833926006811833,0.1948666235045113,False,0.23836037890789336,0.1339322283970069,False,50,2,0.04,3
log,2,0.39279596519945836,0.24077408828280425,False,0.264684644690305,0.17476522485950902,False,50,2,0.04,3
ten_percent,2,0.39279596519945836,0.24077408828280425,False,0.264684644690305,0.17476522485950902,False,50,2,0.04,3
original,20,0.0764295234208282,,True,,,True,50,50,1.0,3
half,10,0.29290664327395055,0.1042597132984632,False,0.0716302401987562,0.07192485993824976,False,50,3,0.06,2
sqrt,4,0.2599343514245867,0.103314124016723,False,0.06643022348941201,0.06792164494353571,False,50,4,0.08,2
log,2,0.2956818572600866,0.1486908651055685,False,0.10954577050499893,0.1008205188536534,False,50,5,0.1,2
ten_percent,2,0.2956818572600866,0.1486908651055685,False,0.10954577050499893,0.1008205188536534,False,50,5,0.1,2
original,20,0.06519348421234565,,True,,,True,50,50,1.0,2
