dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.2381596686455544,0.25962449003498966,False,0.20664798343715274,0.19253814742825115,False,20,4,0.2,6
sqrt,4,0.26218697352172343,-0.061747057976362894,False,0.010160526269453234,-0.037136454324522616,False,20,3,0.15,6
log,2,0.2507310248467843,-0.2845303277418346,False,-0.16028731501443622,-0.2032347111742651,False,20,4,0.2,6
ten_percent,2,0.2507310248467843,-0.2845303277418346,False,-0.16028731501443622,-0.2032347111742651,False,20,4,0.2,6
original,20,0.07528030799113486,,True,,,True,20,20,1.0,6
half,10,0.3858347146145456,-0.2060665194408911,False,-0.33384061878883586,-0.17303618253948003,False,20,5,0.25,15
sqrt,4,0.39524598842580827,-0.21736003816882857,False,-0.33885412714436974,-0.14975189244419534,False,20,4,0.2,15
log,2,0.42067909440640483,-0.22439784484092856,False,-0.3632593455433247,-0.14324060953744436,False,20,3,0.15,15
ten_percent,2,0.42067909440640483,-0.22439784484092856,False,-0.3632593455433247,-0.14324060953744436,False,20,3,0.15,15
original,20,0.08298719667538701,,True,,,True,20,20,1.0,15
half,10,0.17192930818962288,0.5166814935981167,False,0.5725384903532087,0.34607236507896005,False,20,5,0.25,2
sqrt,4,0.24594613619349243,0.11018946379392004,False,0.2074397783865563,0.06417938247608372,False,20,4,0.2,2
log,2,0.38252030544241816,0.4330827067669173,False,0.5196946323582287,0.30526315789473685,False,20,1,0.05,2
ten_percent,2,0.38252030544241816,0.4330827067669173,False,0.5196946323582287,0.30526315789473685,False,20,1,0.05,2
original,20,0.09215336159313026,,True,,,True,19,19,1.0,2
half,10,0.2845865179498465,-0.12075557676046032,False,-0.1143847232760717,-0.05348281873006977,False,20,4,0.2,16
sqrt,4,0.33153257395767316,-0.10843385790971044,False,-0.13734982611869984,-0.04774686984581479,False,20,3,0.15,16
log,2,0.23495516836554398,0.11295193532261505,False,0.022589231804630242,0.13263019401615217,False,20,3,0.15,16
ten_percent,2,0.23495516836554398,0.11295193532261505,False,0.022589231804630242,0.13263019401615217,False,20,3,0.15,16
original,20,0.0748364829594615,,True,,,True,20,20,1.0,16
half,10,0.3259065908251686,0.12410681584698119,False,0.07543689449491552,0.10026420125303971,False,20,2,0.1,3
sqrt,4,0.3462179507355924,-0.10605491536014756,False,-0.05854788854264982,-0.08971007480535134,False,20,2,0.1,3
log,2,0.26081094963372653,0.16021061682064844,False,0.2053244742790843,0.1319265805961049,False,20,2,0.1,3
ten_percent,2,0.26081094963372653,0.16021061682064844,False,0.2053244742790843,0.1319265805961049,False,20,2,0.1,3
original,20,0.08675751971835174,,True,,,True,20,20,1.0,3
half,10,0.29809181127403195,0.53012108311414,False,0.4917163731811349,0.3766697510058722,False,20,3,0.15,5
