dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.15828545556225362,-0.046971044872556066,False,-0.04512906995317274,-0.0324442842261525,False,20,5,0.25,10
sqrt,10,0.21768332798004378,0.03787987489722263,False,0.2116143416389313,0.0,False,20,5,0.25,10
log,4,0.34854697918696165,-0.003018889419011508,False,0.09129789927882817,-0.04278625498405581,False,20,4,0.2,10
ten_percent,10,0.21768332798004378,0.03787987489722263,False,0.2116143416389313,0.0,False,20,5,0.25,10
original,100,0.06991796401454808,,True,,,True,20,20,1.0,10
half,18,0.35983447287315684,-0.11818520967933459,False,-0.1833154015630467,-0.064888568452305,False,20,5,0.25,3
sqrt,10,0.408710653363765,-0.03760812601423672,False,-0.10872238644286226,0.005277063223844196,False,20,2,0.1,3
log,4,0.37876794946402736,-0.06475910958496596,False,-0.13881279021796045,-0.037136454324522616,False,20,3,0.15,3
ten_percent,10,0.408710653363765,-0.03760812601423672,False,-0.10872238644286226,0.005277063223844196,False,20,2,0.1,3
original,100,0.10091114001917975,,True,,,True,20,20,1.0,3
half,18,0.4389343369263168,-0.01957833545591994,False,-0.06251173558344945,0.01591562328193826,False,20,3,0.15,6
sqrt,10,0.41000098944870034,0.040616776095375666,False,-0.007984463150850564,0.026385316119220983,False,20,2,0.1,6
log,4,0.3187171141180298,0.3449081161220648,False,0.2497104230570425,0.23532440241230695,False,20,4,0.2,6
ten_percent,10,0.41000098944870034,0.040616776095375666,False,-0.007984463150850564,0.026385316119220983,False,20,2,0.1,6
original,100,0.06313114592088616,,True,,,True,20,20,1.0,6
half,18,0.31303782432857225,0.3347123215267068,False,0.297084591051938,0.22691371862530044,False,20,2,0.1,11
sqrt,10,0.17005163898067635,0.38855465750979573,False,0.24400115617018442,0.2599551802716583,False,20,3,0.15,11
log,4,0.2452119418604573,0.2988700524821393,False,0.22018571061226336,0.19253814742825115,False,20,4,0.2,11
ten_percent,10,0.17005163898067635,0.38855465750979573,False,0.24400115617018442,0.2599551802716583,False,20,3,0.15,11
original,100,0.06692257123321661,,True,,,True,20,20,1.0,11
half,18,0.3264032595612066,0.09172932330827067,False,-0.01187076602495464,0.031578947368421054,False,20,1,0.05,14
sqrt,10,0.2368464163789345,0.04343243226081701,False,-0.019575840008674173,0.005484084971070818,False,20,6,0.3,14
log,4,0.14631411911074557,-0.09554770715110705,False,-0.18381837415045346,-0.05699879733806412,False,20,8,0.4,14
ten_percent,10,0.2368464163789345,0.04343243226081701,False,-0.019575840008674173,0.005484084971070818,False,20,6,0.3,14
original,100,0.049414602078609086,,True,,,True,20,20,1.0,14
half,18,0.2377384460312292,-0.12724940679923577,False,-0.19307521453642065,-0.03838859479749573,False,20,6,0.3,8
sqrt,10,0.31960761885124656,0.08120300751879699,False,0.05438958708060046,0.0736842105263158,False,20,1,0.05,8
log,4,0.3641109797768826,0.08721804511278194,False,0.06122408807350539,0.0736842105263158,False,20,1,0.05,8
ten_percent,10,0.31960761885124656,0.08120300751879699,False,0.05438958708060046,0.0736842105263158,False,20,1,0.05,8
original,100,0.08486786623327693,,True,,,True,20,20,1.0,8
half,18,0.12236339843434448,0.25000717432166936,False,0.24989159220095547,0.20548046676563253,False,20,5,0.25,0
sqrt,10,0.0675132200050368,0.6314824468008247,False,0.5931279784603518,0.5078333750770082,False,20,7,0.35,0
log,4,0.14561992380287542,0.08485091976977868,False,0.22843555102346286,0.07570332986102252,False,20,5,0.25,0
ten_percent,10,0.0675132200050368,0.6314824468008247,False,0.5931279784603518,0.5078333750770082,False,20,7,0.35,0
original,100,0.06382667608143819,,True,,,True,20,20,1.0,0
half,18,0.25055487962030815,0.06917293233082707,False,0.07451939072451275,0.0736842105263158,False,20,1,0.05,13
sqrt,10,0.23906335394621162,-0.13962363562928223,False,-0.0989325471402184,-0.08557250996811162,False,20,4,0.2,13
log,4,0.11782882088309214,0.45261166250746143,False,0.4007963751483386,0.32356101329317827,False,20,6,0.3,13
ten_percent,10,0.23906335394621162,-0.13962363562928223,False,-0.0989325471402184,-0.08557250996811162,False,20,4,0.2,13
original,100,0.09322488879758857,,True,,,True,20,20,1.0,13
half,18,0.33039966039973845,0.34449043429040843,False,0.35088900860187616,0.2585760979683656,False,20,2,0.1,9
sqrt,10,0.3274607994838076,0.29484770795161597,False,0.34191964321734203,0.23746784507298882,False,20,2,0.1,9
log,4,0.17880832139667685,0.287887049218892,False,0.2928379971482101,0.22710998958306755,False,20,5,0.25,9
ten_percent,10,0.3274607994838076,0.29484770795161597,False,0.34191964321734203,0.23746784507298882,False,20,2,0.1,9
original,100,0.06674976859233872,,True,,,True,20,20,1.0,9
half,18,0.2393200575344702,0.15813270945166105,False,0.17927490284852401,0.16446144058002873,False,20,3,0.15,15
sqrt,10,0.3035275938616623,0.09853329015730021,False,0.1627954108847344,0.08971007480535134,False,20,2,0.1,15
log,4,0.19146436547052453,0.0294341718353622,False,-0.025074057194150828,0.05348281873006977,False,20,4,0.2,15
ten_percent,10,0.3035275938616623,0.09853329015730021,False,0.1627954108847344,0.08971007480535134,False,20,2,0.1,15
original,100,0.09862105546975002,,True,,,True,20,20,1.0,15
half,18,0.12808521071474294,0.43486096382011574,False,0.35008684667137024,0.30281331944409007,False,20,5,0.25,5
sqrt,10,0.2638234875933366,0.41811618453309385,False,0.4668654487025088,0.2567175299043349,False,20,4,0.2,5
log,4,0.34776746987487905,0.27754796998506703,False,0.3039797383322509,0.17414308638685846,False,20,2,0.1,5
ten_percent,10,0.2638234875933366,0.41811618453309385,False,0.4668654487025088,0.2567175299043349,False,20,4,0.2,5
original,100,0.059601565293028805,,True,,,True,20,20,1.0,5
half,18,0.13280882639306915,-0.0218127130882573,False,-0.11876193009045148,-0.01583118967153259,False,20,2,0.1,1
sqrt,10,0.13522104651920192,-0.09372367215292045,False,-0.1851717694793222,-0.0613864519323856,False,20,7,0.35,1
log,4,0.15656406510440274,-0.009778112763701547,False,-0.05666136113268133,0.026385316119220983,False,20,2,0.1,1
ten_percent,10,0.13522104651920192,-0.09372367215292045,False,-0.1851717694793222,-0.0613864519323856,False,20,7,0.35,1
original,100,0.09582197565906621,,True,,,True,20,20,1.0,1
half,18,0.2779586615789639,0.045180774129046024,False,0.10141326511380498,0.02652603880323044,False,20,3,0.15,7
sqrt,10,0.0973084676185863,0.22891592225383317,False,0.16506279134735996,0.16446144058002873,False,20,3,0.15,7
log,4,0.13709323472710286,0.29066298023019604,False,0.2196923403242699,0.2069031026651974,False,20,3,0.15,7
ten_percent,10,0.0973084676185863,0.22891592225383317,False,0.16506279134735996,0.16446144058002873,False,20,3,0.15,7
original,100,0.07434121728489848,,True,,,True,20,20,1.0,7
half,18,0.3495982073709823,0.01506025804301534,False,0.07565421010406224,0.01591562328193826,False,20,3,0.15,12
sqrt,10,0.1513433086543698,0.08000056960380496,False,0.06967865846857746,0.04278625498405581,False,20,4,0.2,12
log,4,0.20119740916904272,0.10391578049680583,False,0.06410189406340633,0.10079894745227566,False,20,3,0.15,12
ten_percent,10,0.1513433086543698,0.08000056960380496,False,0.06967865846857746,0.04278625498405581,False,20,4,0.2,12
original,100,0.08343306883936516,,True,,,True,20,20,1.0,12
half,18,0.302126711299535,0.23343399966673772,False,0.1654853391998783,0.16446144058002873,False,20,3,0.15,2
sqrt,10,0.3305162166302661,0.21886948287833433,False,0.18987985177415426,0.12835876495216744,False,20,4,0.2,2
log,4,0.1950984418503648,0.0814320430181112,False,0.05148615483338135,0.05022527885377004,False,20,7,0.35,2
ten_percent,10,0.3305162166302661,0.21886948287833433,False,0.18987985177415426,0.12835876495216744,False,20,4,0.2,2
