dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.32436278598521273,0.19879540616780247,False,0.09114744139228402,0.11140936297356784,False,20,3,0.15,8
sqrt,14,0.31914152544333285,0.19706658031460042,False,0.11578679163505484,0.1213724541484165,False,20,2,0.1,8
log,5,0.29466033125656665,0.06969896981088965,False,0.05371676791320805,0.0324442842261525,False,20,5,0.25,8
ten_percent,18,0.32436278598521273,0.19879540616780247,False,0.09114744139228402,0.11140936297356784,False,20,3,0.15,8
original,200,0.06768681280494812,,True,,,True,20,20,1.0,8
half,18,0.2241685135851088,0.5101923118129448,False,0.5740618898752606,0.3850762948565023,False,20,4,0.2,9
sqrt,14,0.22927136197942696,0.447536699569417,False,0.5570101873133114,0.33245498310218435,False,20,2,0.1,9
log,5,0.17310168188356395,0.5453178272064325,False,0.630574046174869,0.3957797417883147,False,20,2,0.1,9
ten_percent,18,0.2241685135851088,0.5101923118129448,False,0.5740618898752606,0.3850762948565023,False,20,4,0.2,9
original,200,0.07868647397066021,,True,,,True,20,20,1.0,9
half,18,0.3491926289361047,0.07228923860647363,False,0.1429648008473011,0.05835728536710696,False,20,3,0.15,14
sqrt,14,0.26222001623250935,0.04367474832474448,False,0.11563654344609973,0.037136454324522616,False,20,3,0.15,14
log,5,0.154842187843674,0.04343243226081701,False,0.039331537025215274,0.04935676473963736,False,20,6,0.3,14
ten_percent,18,0.3491926289361047,0.07228923860647363,False,0.1429648008473011,0.05835728536710696,False,20,3,0.15,14
original,200,0.06134130224884351,,True,,,True,20,20,1.0,14
half,18,0.23633093410484735,-0.09848767473277885,False,-0.022684111535957136,-0.064888568452305,False,20,5,0.25,2
sqrt,14,0.2776651839831369,-0.03245306125437371,False,-0.021210883873674532,0.0,False,20,4,0.2,2
log,5,0.16879065222942163,-0.1250001417570273,False,-0.14797174465631435,-0.12201977849486002,False,20,3,0.15,2
ten_percent,18,0.23633093410484735,-0.09848767473277885,False,-0.022684111535957136,-0.064888568452305,False,20,5,0.25,2
original,200,0.07216301739352231,,True,,,True,20,20,1.0,2
half,18,0.2977191383072623,0.24445281909253871,False,0.29913053549431085,0.18469721283454685,False,20,2,0.1,12
sqrt,14,0.14037491445994693,-0.08333572477388979,False,-0.18336788995686218,-0.0324442842261525,False,20,5,0.25,12
log,5,0.27113076514638934,0.2700263447822197,False,0.2882997306294297,0.18469721283454685,False,20,2,0.1,12
ten_percent,18,0.2977191383072623,0.24445281909253871,False,0.29913053549431085,0.18469721283454685,False,20,2,0.1,12
original,200,0.07863546020855162,,True,,,True,20,20,1.0,12
half,18,0.3342384443198869,0.08270676691729321,False,0.07132422121732948,0.06315789473684211,False,20,1,0.05,13
sqrt,14,0.19975003163992358,0.18636898449433534,False,0.02036025665350471,0.10814761408717502,False,20,5,0.25,13
log,5,0.2812632924115227,-0.05454701985200058,False,-0.05158458765110607,-0.04325904563487001,False,20,5,0.25,13
ten_percent,18,0.3342384443198869,0.08270676691729321,False,0.07132422121732948,0.06315789473684211,False,20,1,0.05,13
original,200,0.07354006007116175,,True,,,True,20,20,1.0,13
half,18,0.3226378010031068,-0.20082739291602414,False,0.053338094072455794,-0.1213724541484165,False,20,2,0.1,1
sqrt,14,0.2163083566739293,0.12877335179084337,False,0.21829873980577433,0.12613395433462882,False,20,6,0.3,1
log,5,0.31090828002266224,-0.10792529672966142,False,0.076468009803092,-0.03208969123804186,False,20,4,0.2,1
ten_percent,18,0.3226378010031068,-0.20082739291602414,False,0.053338094072455794,-0.1213724541484165,False,20,2,0.1,1
original,200,0.0743857197393096,,True,,,True,20,20,1.0,1
half,18,0.25571387060118067,0.1803082045107797,False,0.08526141868074798,0.14059189831332752,False,20,5,0.25,11
sqrt,14,0.2164923191685793,0.3108847782879533,False,0.15466293912814968,0.2138793138717619,False,20,6,0.3,11
log,5,0.35447134448783846,0.15662668364735952,False,0.09463647595438614,0.09018853193098349,False,20,3,0.15,11
ten_percent,18,0.25571387060118067,0.1803082045107797,False,0.08526141868074798,0.14059189831332752,False,20,5,0.25,11
original,200,0.06945882436330011,,True,,,True,20,20,1.0,11
half,18,0.14243466940385496,0.18592128897612895,False,0.370501247728735,0.17000663410319536,False,20,6,0.3,6
sqrt,14,0.13555352166941342,-0.0022859174874114213,False,0.10297834988716248,-0.027420424855354092,False,20,6,0.3,6
log,5,0.29919121117534775,0.13554232238713804,False,0.13524262224327135,0.10079894745227566,False,20,3,0.15,6
ten_percent,18,0.14243466940385496,0.18592128897612895,False,0.370501247728735,0.17000663410319536,False,20,6,0.3,6
original,200,0.07997986845241997,,True,,,True,20,20,1.0,6
half,18,0.34155535057005093,0.13984962406015036,False,0.11667555837238128,0.12631578947368421,False,20,1,0.05,7
sqrt,14,0.22264100993681865,0.20075614636426528,False,0.03421734112473954,0.1818415836822372,False,20,4,0.2,7
log,5,0.4321476825759512,0.07596841454875819,False,0.09917183023696724,0.08971007480535134,False,20,2,0.1,7
ten_percent,18,0.34155535057005093,0.13984962406015036,False,0.11667555837238128,0.12631578947368421,False,20,1,0.05,7
original,200,0.09018404820990952,,True,,,True,20,20,1.0,7
half,18,0.2128285420268507,0.12034600324555753,False,0.13329455426296782,0.10026420125303971,False,20,2,0.1,3
sqrt,14,0.1008456941548089,0.030303899917778102,False,-0.06924216231342675,0.010814761408717502,False,20,5,0.25,3
log,5,0.26223515775471473,0.04212110113594513,False,0.12625908616124537,0.036939442566909376,False,20,2,0.1,3
ten_percent,18,0.2128285420268507,0.12034600324555753,False,0.13329455426296782,0.10026420125303971,False,20,2,0.1,3
original,200,0.07978605761284845,,True,,,True,20,20,1.0,3
half,18,0.1618047866629846,0.2586779388725094,False,0.3088722137665252,0.18239615148180516,False,20,8,0.4,10
sqrt,14,0.25700958514707495,-0.09939770308390124,False,0.06741482458230325,-0.05835728536710696,False,20,3,0.15,10
log,5,0.2502260001121324,0.13704834819143957,False,0.14378056612301038,0.13263019401615217,False,20,3,0.15,10
ten_percent,18,0.1618047866629846,0.2586779388725094,False,0.3088722137665252,0.18239615148180516,False,20,8,0.4,10
original,200,0.06724268444120594,,True,,,True,20,20,1.0,10
half,18,0.28760281385586317,0.0878813097615565,False,0.14188902631994643,0.07570332986102252,False,20,5,0.25,0
sqrt,14,0.25007760834451054,0.1114459095183135,False,0.20892675678209463,0.10079894745227566,False,20,3,0.15,0
log,5,0.2924896679530634,0.21662280584200355,False,0.18343069916754923,0.16358895993917008,False,20,2,0.1,0
ten_percent,18,0.28760281385586317,0.0878813097615565,False,0.14188902631994643,0.07570332986102252,False,20,5,0.25,0
original,200,0.08763564045730372,,True,,,True,20,20,1.0,0
half,18,0.09325422034875373,0.23046804627767326,False,0.22380105434668487,0.1841593557971568,False,20,7,0.35,4
sqrt,14,0.16977063941146575,0.054376743907134095,False,-0.02570579749028608,0.04559903787045129,False,20,8,0.4,4
log,5,0.31965377084356483,0.058735006367759815,False,0.06839047806835055,0.05835728536710696,False,20,3,0.15,4
ten_percent,18,0.09325422034875373,0.23046804627767326,False,0.22380105434668487,0.1841593557971568,False,20,7,0.35,4
original,200,0.07444709318178469,,True,,,True,20,20,1.0,4
half,18,0.336702183616663,0.33207783609126584,False,0.2698252794460419,0.2032347111742651,False,20,4,0.2,15
sqrt,14,0.22868453838257513,0.21817641714286398,False,0.22288457111911847,0.13951466348269453,False,20,7,0.35,15
log,5,0.3083739468304838,0.23471865232814473,False,0.10105302295088328,0.14975189244419534,False,20,4,0.2,15
ten_percent,18,0.336702183616663,0.33207783609126584,False,0.2698252794460419,0.2032347111742651,False,20,4,0.2,15
original,200,0.0584946858682975,,True,,,True,20,20,1.0,15
half,18,0.24964643279445928,0.14156642560434418,False,0.05256020930266948,0.09018853193098349,False,20,3,0.15,16
sqrt,14,0.2804849548145252,0.34939798659795585,False,0.23295222018980608,0.2175135181864896,False,20,3,0.15,16
log,5,0.2191059838429414,0.190190033397725,False,0.025346704712417633,0.11766220120615348,False,20,4,0.2,16
