dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,10,0.07553991214444652,-0.0038773254693953824,False,0.008685717132925635,-0.002364965796920367,False,200,129,0.645,12
sqrt,4,0.06244119380068161,0.09251940151143948,False,0.07883601607969612,0.0635698523889731,False,200,40,0.2,12
log,2,0.1644543960880234,0.14874045728796073,False,0.20432174415674365,0.10071832691570638,False,200,15,0.075,12
ten_percent,2,0.1644543960880234,0.14874045728796073,False,0.20432174415674365,0.10071832691570638,False,200,15,0.075,12
original,20,0.08066344378009914,0.057777638622952106,False,0.035258887596026356,0.04729482695011102,False,197,196,0.9949238578680203,12
half,10,0.07120240674650591,0.07330346241620161,False,0.1107109055328034,0.05478291393625383,False,200,149,0.745,10
sqrt,4,0.0588812264500742,-0.010418694747758266,False,0.004419683990395443,-0.00410400229824193,False,200,26,0.13,10
log,2,0.0726848924823653,0.1113360317321816,False,0.1093190745126796,0.07388772581436191,False,200,14,0.07,10
ten_percent,2,0.0726848924823653,0.1113360317321816,False,0.1093190745126796,0.07388772581436191,False,200,14,0.07,10
original,20,0.0769957090727667,0.03955729303557048,False,0.010085179733677114,0.03264260896044985,False,196,194,0.9897959183673469,10
half,10,0.07789514241382864,0.1567593705534592,False,0.1577893321834877,0.12089570206635926,False,200,141,0.705,3
sqrt,4,0.06375270350609812,0.021368239899016987,False,0.007064171546607343,0.012165098031142659,False,200,37,0.185,3
log,2,0.14143541000731225,0.2156453887230963,False,0.21069557612372988,0.1488512178810358,False,200,17,0.085,3
ten_percent,2,0.14143541000731225,0.2156453887230963,False,0.21069557612372988,0.1488512178810358,False,200,17,0.085,3
original,20,0.07839005472619859,,True,,,True,198,198,1.0,3
half,10,0.07051739198982357,0.09830623383121988,False,0.00890865914181627,0.0769103645679167,False,200,124,0.62,8
sqrt,4,0.06065515956245591,0.11285004268976702,False,0.11734029391771426,0.07475676431699912,False,200,22,0.11,8
log,2,0.5076437643423372,0.09806456935705857,False,0.11398693218104183,0.06252198895010655,False,200,4,0.02,8
ten_percent,2,0.5076437643423372,0.09806456935705857,False,0.11398693218104183,0.06252198895010655,False,200,4,0.02,8
