dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,18,0.09018404820990952,,True,,,True,20,20,1.0,7
sqrt,14,0.09018404820990952,,True,,,True,20,20,1.0,7
log,5,0.06642994209818295,0.12603863324373046,False,0.15218406026519177,0.11766220120615348,False,20,4,0.2,7
ten_percent,18,0.09018404820990952,,True,,,True,20,20,1.0,7
original,200,0.09018404820990952,,True,,,True,20,20,1.0,7
half,18,0.0782231026379672,0.17903580300437075,False,0.14780500184397405,0.14979209969218638,False,20,19,0.95,12
sqrt,14,0.07863546020855162,,True,,,True,20,20,1.0,12
log,5,0.07463137113178055,-0.047640836248702564,False,-0.09293092085723276,-0.05484084971070817,False,20,13,0.65,12
ten_percent,18,0.0782231026379672,0.17903580300437075,False,0.14780500184397405,0.14979209969218638,False,20,19,0.95,12
original,200,0.07863546020855162,,True,,,True,20,20,1.0,12
half,18,0.06945882436330011,,True,,,True,20,20,1.0,11
sqrt,14,0.06945882436330011,,True,,,True,20,20,1.0,11
log,5,0.060116814621342905,0.2104941489336082,False,0.11240551369163396,0.15067583656131012,False,20,7,0.35,11
ten_percent,18,0.06945882436330011,,True,,,True,20,20,1.0,11
original,200,0.06945882436330011,,True,,,True,20,20,1.0,11
half,18,0.07216301739352231,,True,,,True,20,20,1.0,2
sqrt,14,0.07216301739352231,,True,,,True,20,20,1.0,2
log,5,0.06873686782545323,-0.1418278710457524,False,0.043535403329772425,-0.13853490243227223,False,20,14,0.7,2
ten_percent,18,0.07216301739352231,,True,,,True,20,20,1.0,2
original,200,0.07216301739352231,,True,,,True,20,20,1.0,2
half,18,0.06768681280494812,,True,,,True,20,20,1.0,8
sqrt,14,0.06768681280494812,,True,,,True,20,20,1.0,8
log,5,0.060143043712334844,0.12371772851807644,False,-0.01091856667665352,0.10242078963189226,False,20,10,0.5,8
ten_percent,18,0.06768681280494812,,True,,,True,20,20,1.0,8
original,200,0.06768681280494812,,True,,,True,20,20,1.0,8
half,18,0.0584946858682975,,True,,,True,20,20,1.0,15
sqrt,14,0.0584946858682975,,True,,,True,20,20,1.0,15
log,5,0.051849911505522685,0.0,False,-0.12038484744693899,-0.013710212427677042,False,20,13,0.65,15
ten_percent,18,0.0584946858682975,,True,,,True,20,20,1.0,15
original,200,0.0584946858682975,,True,,,True,20,20,1.0,15
half,18,0.07978605761284845,,True,,,True,20,20,1.0,3
sqrt,14,0.07978605761284845,,True,,,True,20,20,1.0,3
log,5,0.0626987096048588,0.3231532209338255,False,0.3360006253218187,0.21659542988464364,False,20,8,0.4,3
ten_percent,18,0.07978605761284845,,True,,,True,20,20,1.0,3
original,200,0.07978605761284845,,True,,,True,20,20,1.0,3
half,18,0.07997986845241997,,True,,,True,20,20,1.0,6
sqrt,14,0.07997986845241997,,True,,,True,20,20,1.0,6
log,5,0.0654695403986767,0.279569931975913,False,0.08929737871397207,0.22291583625764785,False,20,10,0.5,6
ten_percent,18,0.07997986845241997,,True,,,True,20,20,1.0,6
original,200,0.07997986845241997,,True,,,True,20,20,1.0,6
half,18,0.06134130224884351,,True,,,True,20,20,1.0,14
sqrt,14,0.06134130224884351,,True,,,True,20,20,1.0,14
log,5,0.05362982818004018,0.26138138007896866,False,0.2005199914912012,0.19544907152139113,False,20,12,0.6,14
ten_percent,18,0.06134130224884351,,True,,,True,20,20,1.0,14
original,200,0.06134130224884351,,True,,,True,20,20,1.0,14
half,18,0.07868647397066021,,True,,,True,20,20,1.0,9
sqrt,14,0.07868647397066021,,True,,,True,20,20,1.0,9
log,5,0.07312848891159121,0.27345896704899975,False,0.23657043055956764,0.2260306302842337,False,20,14,0.7,9
ten_percent,18,0.07868647397066021,,True,,,True,20,20,1.0,9
original,200,0.07868647397066021,,True,,,True,20,20,1.0,9
half,18,0.06198268231823765,,True,,,True,20,20,1.0,5
sqrt,14,0.06198268231823765,,True,,,True,20,20,1.0,5
log,5,0.05121680402242888,0.20180013836197702,False,0.1797153974488245,0.15199740977035361,False,20,9,0.45,5
ten_percent,18,0.06198268231823765,,True,,,True,20,20,1.0,5
original,200,0.06198268231823765,,True,,,True,20,20,1.0,5
half,18,0.07354006007116175,,True,,,True,20,20,1.0,13
sqrt,14,0.07354006007116175,,True,,,True,20,20,1.0,13
log,5,0.061517269249679915,0.11809419540361843,False,0.08649933376734253,0.06627227564416557,False,20,10,0.5,13
ten_percent,18,0.07354006007116175,,True,,,True,20,20,1.0,13
original,200,0.07354006007116175,,True,,,True,20,20,1.0,13
half,18,0.06724268444120594,,True,,,True,20,20,1.0,10
sqrt,14,0.06686368783625454,0.11401124018805121,False,0.005686948877078644,0.08348729258252183,False,20,18,0.9,10
log,5,0.06156147134725297,-0.18625731619280655,False,-0.09887553706889762,-0.1777046633277277,False,20,17,0.85,10
ten_percent,18,0.06724268444120594,,True,,,True,20,20,1.0,10
original,200,0.06724268444120594,,True,,,True,20,20,1.0,10
half,18,0.08763564045730372,,True,,,True,20,20,1.0,0
sqrt,14,0.08763564045730372,,True,,,True,20,20,1.0,0
log,5,0.08226348877623169,0.21784019408988112,False,0.14104942234554946,0.13853490243227223,False,20,14,0.7,0
ten_percent,18,0.08763564045730372,,True,,,True,20,20,1.0,0
original,200,0.08763564045730372,,True,,,True,20,20,1.0,0
half,18,0.07444709318178469,,True,,,True,20,20,1.0,4
sqrt,14,0.07444709318178469,,True,,,True,20,20,1.0,4
log,5,0.06206735581837203,0.48472983140073816,False,0.4762919049792666,0.3647923029636103,False,20,8,0.4,4
ten_percent,18,0.07444709318178469,,True,,,True,20,20,1.0,4
original,200,0.07444709318178469,,True,,,True,20,20,1.0,4
half,18,0.0743857197393096,,True,,,True,20,20,1.0,1
sqrt,14,0.0743857197393096,,True,,,True,20,20,1.0,1
log,5,0.06754525548947171,0.2106942363572542,False,0.19891866625969662,0.14360982444252643,False,20,11,0.55,1
ten_percent,18,0.0743857197393096,,True,,,True,20,20,1.0,1
original,200,0.0743857197393096,,True,,,True,20,20,1.0,1
half,18,0.06098618847260882,,True,,,True,20,20,1.0,20
sqrt,14,0.06098618847260882,,True,,,True,20,20,1.0,20
log,5,0.05476005861531339,-0.026336779544656776,False,-0.16269836178982325,-0.01873171623163388,False,20,11,0.55,20
ten_percent,18,0.06098618847260882,,True,,,True,20,20,1.0,20
original,200,0.06098618847260882,,True,,,True,20,20,1.0,20
half,18,0.07040800930148301,,True,,,True,20,20,1.0,17
sqrt,14,0.07040800930148301,,True,,,True,20,20,1.0,17
log,5,0.06736192851988877,-0.16798779836747527,False,-0.11602105739026115,-0.13377121081198776,False,20,15,0.75,17
ten_percent,18,0.07040800930148301,,True,,,True,20,20,1.0,17
original,200,0.07040800930148301,,True,,,True,20,20,1.0,17
half,18,0.08219887159871604,,True,,,True,20,20,1.0,16
sqrt,14,0.08219887159871604,,True,,,True,20,20,1.0,16
log,5,0.08037802159629462,0.31461329570879953,False,0.2858693962656356,0.25046187774756545,False,20,18,0.9,16
ten_percent,18,0.08219887159871604,,True,,,True,20,20,1.0,16
original,200,0.08219887159871604,,True,,,True,20,20,1.0,16
