dim_reduction_level,dims,mae,spearmanr,spearmanr_warning,pearsonr,kendalltau,kendalltau_warning,nr_non_nan,nr_efficient,prop_efficient,iteration
half,25,0.2225691060684357,0.3031067177771614,False,0.21111237446879644,0.20480845331428932,False,200,9,0.045,0
sqrt,7,0.2764323358187369,0.2536852447775904,False,0.2002227446948167,0.16697663256653333,False,200,5,0.025,0
log,3,0.40624469655494444,0.17007252736192272,False,0.18180773964183283,0.11339532903976496,False,200,5,0.025,0
ten_percent,5,0.19124498139264104,0.3362372475713129,False,0.2359644562013254,0.2339334784695467,False,200,8,0.04,0
original,50,0.08179821027037792,0.10308335848837868,False,0.08284561979174161,0.08395879473901272,False,196,193,0.9846938775510204,0
half,25,0.23877203965789684,0.3432502895890113,False,0.26096988630322787,0.23635589909627105,False,200,7,0.035,12
sqrt,7,0.2568540181685204,0.32007170276123753,False,0.25521816047796786,0.21721755973924523,False,200,6,0.03,12
log,3,0.23128016709726296,0.3096182850194226,False,0.23723198097649026,0.21270620441716004,False,200,11,0.055,12
ten_percent,5,0.23549361622923648,0.3206054196851571,False,0.24569980944562606,0.21784368619607328,False,200,5,0.025,12
original,50,0.09497714755696085,-0.0009132287057298733,False,0.05153144471232827,0.0001772079989692606,False,194,185,0.9536082474226805,12
half,25,0.22299422848983055,0.31244482262498785,False,0.23703031606081978,0.21573493293940216,False,200,12,0.06,4
sqrt,7,0.21567885068831838,0.32375031784176006,False,0.24432333230463077,0.22026506452235742,False,200,12,0.06,4
log,3,0.22919817154956804,0.3091907194290537,False,0.22712236537731384,0.2141205398373452,False,200,8,0.04,4
ten_percent,5,0.2665754873718471,0.29869383744992695,False,0.2253729982355663,0.20264361691867333,False,200,4,0.02,4
original,50,0.09439591484023992,0.15270722920034144,False,0.11649108152106602,0.12402296680560448,False,192,185,0.9635416666666666,4
half,25,0.21653266517843628,0.23385988089608983,False,0.1540514615133986,0.16827094717658866,False,198,10,0.050505050505050504,10
sqrt,7,0.2713619963934062,0.167789453161947,False,0.1316398954832544,0.1197285787999646,False,200,5,0.025,10
log,3,0.2761819314332502,0.13142827142251778,False,0.09270396729619994,0.097712996300223,False,200,5,0.025,10
ten_percent,5,0.2004266967097488,0.297126831358556,False,0.19875208284586662,0.20813777313095705,False,200,15,0.075,10
original,50,0.09333624457193182,-0.03605939911436981,False,-0.054619129457225545,-0.030037820515043667,False,190,182,0.9578947368421052,10
half,25,0.2887668824716355,0.1052665240362782,False,0.07265933035005932,0.07102965297922068,False,199,5,0.02512562814070352,1
sqrt,7,0.2311441748609046,0.11863930701692307,False,0.09022207895515888,0.08165015921286126,False,200,10,0.05,1
log,3,0.2221753005176882,0.12090608125357875,False,0.07913596347681733,0.0824700998903819,False,200,8,0.04,1
ten_percent,5,0.273620551690497,0.11559059145844575,False,0.08077474809730681,0.0768534667643011,False,200,9,0.045,1
original,50,0.09576352585987503,0.034584340755711804,False,-0.018037563059769734,0.027608657378607557,False,197,190,0.9644670050761421,1
half,25,0.18737648518214686,0.28678995377468003,False,0.26146555337471766,0.19853167949221204,False,200,8,0.04,3
sqrt,7,0.30505407725227485,0.13895629772081977,False,0.17563208559291107,0.09697122720134323,False,200,6,0.03,3
log,3,0.1957526075711894,0.26859617581719847,False,0.23300636257441015,0.18726747072669644,False,200,8,0.04,3
ten_percent,5,0.2316703242301084,0.2037250105641757,False,0.21728400248538313,0.14200948907953564,False,200,8,0.04,3
original,50,0.10853538849048008,0.10853428757641283,False,0.15124456299199207,0.08907448145784633,False,189,180,0.9523809523809523,3
half,25,0.2505456548236088,0.26598810822611624,False,0.22031420237083643,0.18317204540605533,False,200,10,0.05,8
sqrt,7,0.22069665083073228,0.3068850388537552,False,0.2317042345720577,0.2171301881293212,False,200,14,0.07,8
log,3,0.2510028594310964,0.262726585480866,False,0.22478464578708834,0.17853643856431792,False,200,7,0.035,8
ten_percent,5,0.21898369582632463,0.2551432080054229,False,0.19511681179716234,0.18055520435367092,False,200,13,0.065,8
original,50,0.08888643333701306,-0.019710045859715863,False,-0.009489668174931527,-0.01579946625380051,False,191,184,0.9633507853403142,8
half,25,0.2158412926387141,0.230700545478168,False,0.15151873993585932,0.16181979282588066,False,200,6,0.03,13
sqrt,7,0.31181147134938497,0.21607922609973476,False,0.17023271871216694,0.1449858033619143,False,200,3,0.015,13
log,3,0.2857630258838958,0.1819574136210604,False,0.14428159311197472,0.12455391195059289,False,200,5,0.025,13
ten_percent,5,0.3165416351877643,0.2152824393716457,False,0.1726618038657829,0.1460521703287859,False,200,4,0.02,13
original,50,0.11010661336367207,0.04042606694086038,False,0.024173401491231653,0.032584702771685646,False,195,185,0.9487179487179487,13
